Russian Federation, Period table mean ages at birth by birth order
Last modified: 02/10/2020
Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
1989    25.43    22.52    26.75    30.27    32.31    35.11
1990    25.20    22.43    26.87    30.16    32.13    34.84
1991    25.04    22.50    27.08    30.04    31.77    34.48
1992    24.93    22.68    27.33    29.95    31.48    34.25
1993    24.85    22.91    27.51    29.82    31.14    33.68
1994    24.82    22.86    27.52    29.67    30.88    33.26
1995    25.00    23.11    27.77    29.75    30.81    33.15
1996    25.26    23.46    28.07    30.00    31.00    33.18
1997    25.47    23.75    28.23    30.07    31.04    33.04
1998    25.64    23.91    28.38    30.22    31.21    33.15
1999    25.82    24.23    28.55    30.43    31.50    33.41
2000    26.00    24.43    28.54    30.51    31.74    33.64
2001    26.15    24.49    28.74    30.80    31.94    33.72
2002    26.28    24.49    28.78    30.91    32.13    34.01
2003    26.40    24.50    28.83    31.05    32.21    34.08
2004    26.52    24.59    28.95    31.18    32.43    34.27
2005    26.67    24.82    29.13    31.34    32.53    34.40
2006    26.74    24.88    29.18    31.42    32.65    34.43
2007    27.06    24.96    29.13    31.44    32.79    34.64
2008    27.26    24.96    29.15    31.64    33.16    35.06
2009    27.44    25.10    29.28    31.86    33.39    35.16
2010    27.70    25.33    29.40    32.13    33.68    35.39
2011    27.73    25.36    29.28    32.04    33.63    35.32
2012    27.85    25.30    29.12    31.99    33.57    35.25
2013    27.97    25.46    29.19    32.05    33.65    35.30
2014    28.11    25.59    29.15    32.07    33.64    35.27
2015    28.26    25.82    29.19    32.15    33.63    35.17
2016    28.46    26.07    29.35    32.30    33.78    35.38
2017    28.60    26.43    29.60    32.32    33.73    35.30
2018    28.78    26.75    29.70    32.18    33.30    34.80
