Russian Federation, Standard deviation in period mean ages at birth by birth order and standard deviation in period mean ages at birth by birth order by age 40
Last modified: 22/10/2020
Year      sdMAB      sdMAB1      sdMAB2      sdMAB3      sdMAB4     sdMAB5p     sdMAB40   sdMAB40_1   sdMAB40_2   sdMAB40_3   sdMAB40_4  sdMAB40_5p
1959       6.04        4.32        4.54        4.68        4.75        4.96        5.26        4.11        4.26        4.19        3.95        3.60
1960       6.02        4.38        4.55        4.67        4.71        4.98        5.27        4.16        4.28        4.20        3.96        3.62
1961       5.99        4.35        4.59        4.65        4.68        5.03        5.29        4.14        4.33        4.21        3.96        3.69
1962       5.97        4.36        4.62        4.68        4.68        4.99        5.29        4.13        4.35        4.24        3.94        3.65
1963       5.96        4.34        4.62        4.73        4.70        4.98        5.30        4.12        4.36        4.28        3.98        3.62
1964       5.96        4.39        4.67        4.79        4.63        4.96        5.30        4.15        4.39        4.34        3.93        3.57
1965       5.94        4.38        4.63        4.79        4.63        4.92        5.31        4.15        4.37        4.33        3.93        3.55
1966       5.90        4.33        4.59        4.73        4.64        4.86        5.31        4.11        4.34        4.32        3.99        3.52
1967       5.86        4.32        4.56        4.78        4.72        4.87        5.29        4.10        4.32        4.35        4.08        3.59
1968       5.83        4.31        4.55        4.77        4.65        4.78        5.28        4.10        4.31        4.33        4.03        3.54
1969       5.77        4.21        4.50        4.75        4.70        4.75        5.26        3.99        4.28        4.32        4.07        3.61
1970       5.75        4.18        4.51        4.77        4.69        4.73        5.27        3.97        4.29        4.37        4.10        3.67
1971       5.70        4.06        4.54        4.73        4.68        4.64        5.26        3.88        4.34        4.33        4.07        3.66
1972       5.69        4.01        4.53        4.81        4.75        4.65        5.25        3.83        4.34        4.41        4.13        3.63
1973       5.68        4.00        4.58        4.80        4.71        4.65        5.25        3.83        4.39        4.41        4.09        3.64
1974       5.65        3.97        4.55        4.84        4.79        4.64        5.21        3.81        4.37        4.45        4.16        3.62
1975       5.60        3.97        4.51        4.89        4.72        4.66        5.17        3.81        4.33        4.49        4.10        3.62
1976       5.53        3.94        4.44        4.93        4.87        4.78        5.10        3.79        4.26        4.53        4.24        3.71
1977       5.48        3.97        4.42        4.92        4.95        4.82        5.07        3.82        4.24        4.53        4.30        3.78
1978       5.42        3.94        4.35        4.90        5.01        4.83        5.03        3.81        4.18        4.49        4.37        3.79
1979       5.38        3.94        4.37        4.90        5.04        4.90        5.00        3.80        4.20        4.49        4.40        3.86
1980       5.31        3.93        4.35        4.84        5.00        4.93        4.96        3.81        4.20        4.45        4.36        3.90
1981       5.29        3.96        4.36        4.81        4.95        4.94        4.96        3.85        4.21        4.42        4.31        3.94
1982       5.29        3.97        4.38        4.77        4.91        4.98        4.97        3.86        4.24        4.41        4.27        3.95
1983       5.27        3.98        4.36        4.72        4.84        4.93        4.99        3.86        4.23        4.40        4.26        3.87
1984       5.28        3.99        4.42        4.73        4.78        4.92        5.01        3.88        4.29        4.41        4.22        3.86
1985       5.29        4.01        4.45        4.75        4.81        4.86        5.03        3.90        4.31        4.45        4.26        3.83
1986       5.37        4.09        4.50        4.76        4.79        4.77        5.10        3.96        4.35        4.46        4.28        3.84
1987       5.42        4.12        4.55        4.79        4.81        4.76        5.14        3.99        4.39        4.46        4.28        3.85
1988       5.41        4.15        4.57        4.84        4.86        4.78        5.13        3.99        4.39        4.50        4.33        3.91
1989       5.37        4.13        4.55        4.84        4.83        4.71        5.10        3.98        4.37        4.50        4.32        3.87
1990       5.34        4.11        4.53        4.84        4.84        4.68        5.08        3.97        4.36        4.50        4.32        3.89
1991       5.32        4.10        4.55        4.88        4.88        4.78        5.04        3.96        4.38        4.51        4.35        3.95
1992       5.28        4.11        4.55        4.92        4.92        4.77        5.00        3.97        4.37        4.52        4.35        3.92
1993       5.18        4.08        4.48        4.93        4.98        4.84        4.92        3.95        4.32        4.53        4.41        3.94
1994       5.13        4.04        4.41        4.87        4.88        4.82        4.90        3.92        4.26        4.51        4.33        3.95
1995       5.15        4.08        4.44        4.85        4.85        4.80        4.92        3.96        4.29        4.49        4.33        3.95
1996       5.20        4.12        4.49        4.89        4.87        4.78        4.96        4.00        4.33        4.52        4.32        3.91
1997       5.24        4.15        4.49        4.89        4.87        4.77        5.01        4.04        4.35        4.52        4.34        3.93
1998       5.27        4.16        4.51        4.93        4.91        4.77        5.04        4.05        4.36        4.56        4.36        3.94
1999       5.27        4.16        4.50        4.89        4.89        4.86        5.03        4.05        4.35        4.51        4.33        3.99
2000       5.27        4.25        4.50        4.89        4.90        4.70        5.03        4.12        4.35        4.51        4.32        3.83
2001       5.30        4.25        4.54        4.94        4.86        4.69        5.06        4.13        4.39        4.53        4.29        3.83
2002       5.32        4.22        4.56        4.92        4.85        4.67        5.10        4.12        4.41        4.54        4.30        3.84
2003       5.36        4.25        4.60        4.93        4.94        4.64        5.13        4.15        4.45        4.54        4.35        3.86
2004       5.43        4.32        4.68        4.99        4.94        4.68        5.18        4.21        4.52        4.57        4.34        3.89
2005       5.47        4.40        4.75        5.05        4.99        4.71        5.22        4.28        4.57        4.60        4.35        3.88
2006       5.50        4.44        4.79        5.07        5.02        4.77        5.24        4.32        4.60        4.63        4.36        3.91
2007       5.56        4.49        4.79        5.05        4.97        4.68        5.29        4.38        4.59        4.60        4.35        3.87
2008       5.62        4.54        4.84        5.03        4.99        4.70        5.33        4.42        4.63        4.57        4.35        3.88
2009       5.64        4.63        4.89        5.06        5.03        4.77        5.33        4.49        4.65        4.59        4.36        3.91
2010       5.66        4.70        4.91        5.06        5.03        4.82        5.34        4.55        4.66        4.58        4.37        3.93
2011       5.70        4.77        4.96        5.11        5.09        4.91        5.38        4.62        4.71        4.62        4.41        3.99
2012       5.72        4.79        4.98        5.12        5.09        4.82        5.40        4.64        4.72        4.65        4.44        3.98
2013       5.75        4.89        5.05        5.14        5.10        4.86        5.42        4.72        4.78        4.68        4.48        4.02
2014       5.79        4.96        5.11        5.21        5.16        4.86        5.43        4.78        4.81        4.72        4.50        4.05
2015       5.74        4.99        5.07        5.23        5.17        4.88        5.38        4.79        4.78        4.74        4.53        4.07
2016       5.74        5.02        5.07        5.26        5.19        4.90        5.36        4.80        4.78        4.75        4.54        4.09
2017       5.78        5.06        5.20        5.27        5.23        4.93        5.38        4.81        4.87        4.78        4.60        4.14
2018       5.79        5.12        5.20        5.32        5.38        5.19        5.37        4.84        4.86        4.82        4.75        4.43
