Russian Federation, Parity- and age-adjusted total fertility rate
Last modified: 02/10/2020
Year    PATFR   PATFR1   PATFR2   PATFR3   PATFR4  PATFR5p
1989    1.983    0.947    0.726    0.213    0.057    0.040
1990    1.881    0.945    0.685    0.178    0.045    0.029
1991    1.755    0.938    0.622    0.141    0.033    0.020
1992    1.608    0.926    0.544    0.104    0.023    0.012
1993    1.466    0.905    0.468    0.074    0.014    0.006
1994    1.470    0.905    0.466    0.077    0.015    0.007
1995    1.428    0.896    0.440    0.071    0.014    0.007
1996    1.380    0.883    0.411    0.065    0.013    0.006
1997    1.335    0.863    0.388    0.063    0.013    0.007
1998    1.338    0.863    0.388    0.065    0.014    0.008
1999    1.269    0.842    0.350    0.058    0.012    0.006
2000    1.289    0.847    0.358    0.063    0.014    0.007
2001    1.305    0.848    0.369    0.065    0.015    0.008
2002    1.349    0.850    0.391    0.078    0.019    0.011
2003    1.382    0.853    0.408    0.086    0.022    0.013
2004    1.388    0.852    0.412    0.088    0.023    0.013
2005    1.346    0.839    0.394    0.082    0.020    0.011
2006    1.350    0.838    0.397    0.084    0.020    0.011
2007    1.448    0.838    0.440    0.114    0.033    0.022
2008    1.523    0.844    0.473    0.137    0.042    0.026
2009    1.558    0.853    0.492    0.143    0.043    0.027
2010    1.584    0.851    0.508    0.153    0.045    0.027
2011    1.597    0.844    0.513    0.162    0.049    0.030
2012    1.698    0.852    0.548    0.193    0.063    0.043
2013    1.715    0.856    0.556    0.200    0.063    0.040
2014    1.753    0.853    0.571    0.214    0.070    0.046
2015    1.770    0.851    0.585    0.219    0.070    0.044
2016    1.757    0.843    0.584    0.218    0.068    0.043
2017    1.636    0.819    0.532    0.190    0.058    0.036
2018    1.592    0.797    0.508    0.184    0.060    0.043
