Russian Federation, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 22/10/2020
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1959     2.583     1.042     0.720     0.351     0.190     0.280     2.467     1.036     0.711     0.339     0.175     0.206
1960     2.556     1.021     0.726     0.354     0.186     0.269     2.447     1.015     0.717     0.343     0.172     0.200
1961     2.458     1.036     0.689     0.325     0.168     0.240     2.363     1.030     0.680     0.315     0.157     0.181
1962     2.340     1.008     0.659     0.300     0.155     0.219     2.252     1.001     0.651     0.290     0.144     0.166
1963     2.283     1.004     0.648     0.285     0.142     0.203     2.201     0.998     0.640     0.276     0.133     0.155
1964     2.160     0.986     0.609     0.252     0.127     0.185     2.084     0.980     0.600     0.244     0.119     0.142
1965     2.087     0.955     0.593     0.240     0.121     0.177     2.017     0.950     0.585     0.232     0.113     0.137
1966     2.098     0.970     0.606     0.233     0.116     0.173     2.032     0.964     0.598     0.226     0.109     0.136
1967     2.006     0.941     0.593     0.211     0.104     0.157     1.947     0.935     0.585     0.204     0.097     0.125
1968     1.970     0.931     0.592     0.201     0.097     0.149     1.913     0.926     0.585     0.194     0.091     0.119
1969     1.984     0.947     0.620     0.194     0.089     0.135     1.933     0.941     0.613     0.187     0.084     0.108
1970     1.995     0.986     0.613     0.189     0.082     0.126     1.947     0.981     0.606     0.183     0.077     0.101
1971     2.024     1.001     0.637     0.190     0.081     0.116     1.979     0.996     0.631     0.183     0.076     0.093
1972     2.027     0.992     0.664     0.185     0.076     0.111     1.982     0.988     0.657     0.178     0.070     0.088
1973     1.962     0.959     0.652     0.178     0.070     0.103     1.919     0.955     0.646     0.172     0.065     0.082
1974     1.995     0.983     0.663     0.179     0.069     0.100     1.953     0.979     0.657     0.173     0.065     0.079
1975     1.971     0.976     0.661     0.171     0.069     0.094     1.931     0.972     0.655     0.166     0.064     0.074
1976     1.953     0.975     0.660     0.166     0.063     0.089     1.915     0.971     0.655     0.161     0.058     0.069
1977     1.918     0.959     0.658     0.162     0.058     0.081     1.884     0.956     0.652     0.157     0.054     0.064
1978     1.899     0.964     0.650     0.157     0.054     0.074     1.867     0.961     0.645     0.152     0.050     0.059
1979     1.865     0.964     0.633     0.149     0.051     0.068     1.836     0.961     0.628     0.145     0.048     0.055
1980     1.863     0.966     0.642     0.146     0.048     0.061     1.837     0.963     0.638     0.142     0.045     0.049
1981     1.882     0.945     0.674     0.155     0.049     0.059     1.857     0.942     0.670     0.151     0.046     0.048
1982     1.956     0.944     0.725     0.176     0.053     0.058     1.931     0.941     0.720     0.172     0.050     0.047
1983     2.088     0.956     0.812     0.204     0.058     0.058     2.063     0.954     0.808     0.199     0.055     0.048
1984     2.051     0.967     0.766     0.206     0.057     0.055     2.027     0.965     0.762     0.201     0.054     0.046
1985     2.051     0.965     0.757     0.214     0.060     0.055     2.028     0.963     0.752     0.209     0.057     0.047
