Czechia, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 02/02/2023
Year      sdMAB    sdMAB40
1950       6.02       5.44
1951       5.98       5.41
1952       5.92       5.38
1953       5.89       5.34
1954       5.82       5.29
1955       5.77       5.24
1956       5.72       5.23
1957       5.65       5.20
1958       5.42       5.04
1959       5.19       4.87
1960       5.11       4.82
1961       5.07       4.78
1962       4.98       4.71
1963       5.00       4.75
1964       5.07       4.80
1965       5.10       4.83
1966       5.04       4.79
1967       4.97       4.73
1968       4.92       4.69
1969       4.92       4.69
1970       4.85       4.63
1971       4.85       4.64
1972       4.80       4.61
1973       4.77       4.59
1974       4.77       4.61
1975       4.78       4.62
1976       4.80       4.64
1977       4.79       4.63
1978       4.77       4.61
1979       4.74       4.58
1980       4.68       4.52
1981       4.70       4.52
1982       4.65       4.49
1983       4.63       4.48
1984       4.59       4.44
1985       4.58       4.45
1986       4.59       4.46
1987       4.60       4.46
1988       4.59       4.47
1989       4.61       4.48
1990       4.62       4.49
1991       4.67       4.52
1992       4.69       4.53
1993       4.76       4.61
1994       4.83       4.66
1995       4.86       4.68
1996       4.88       4.70
1997       4.87       4.70
1998       4.87       4.69
1999       4.89       4.70
2000       4.88       4.68
2001       4.91       4.68
2002       4.96       4.74
2003       4.97       4.74
2004       4.99       4.76
2005       4.98       4.75
2006       5.02       4.78
2007       5.03       4.79
2008       5.08       4.82
2009       5.13       4.87
2010       5.14       4.87
2011       5.18       4.90
2012       5.22       4.94
2013       5.26       4.96
2014       5.26       4.97
2015       5.31       5.00
2016       5.35       5.04
2017       5.35       5.03
2018       5.35       5.00
2019       5.34       4.97
2020       5.33       4.95
2021       5.25       4.85
