Czechia, Period table mean ages at birth by birth order
Last modified: 02/02/2023
Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
1950    27.70    23.15    26.36    29.38    31.55    34.94
1951    27.47    22.98    26.25    29.24    31.44    34.86
1952    27.32    22.94    26.32    29.33    31.51    34.95
1953    27.22    22.98    26.40    29.37    31.64    35.02
1954    27.04    22.94    26.31    29.39    31.63    34.92
1955    26.89    22.86    26.26    29.25    31.51    34.84
1956    26.64    22.71    26.12    29.17    31.38    34.53
1957    26.36    22.63    26.06    29.06    31.25    34.17
1958    25.90    22.71    26.08    28.98    31.19    33.96
1959    25.42    22.67    26.07    28.99    30.96    33.45
1960    25.33    22.62    26.07    28.96    30.87    33.08
1961    25.30    22.60    26.08    28.97    30.75    32.84
1962    25.21    22.53    25.99    28.72    30.64    32.68
1963    25.32    22.38    25.81    28.74    30.57    32.69
1964    25.47    22.39    25.87    28.89    30.84    32.84
1965    25.44    22.54    26.02    29.10    31.10    33.03
1966    25.26    22.59    26.12    29.10    30.95    32.82
1967    25.08    22.59    26.17    29.03    30.88    32.63
1968    25.03    22.65    26.26    29.05    30.60    32.46
1969    24.99    22.57    26.17    28.98    30.73    32.46
1970    24.94    22.52    26.11    28.98    30.65    32.49
1971    25.04    22.59    26.14    29.19    30.66    32.61
1972    25.04    22.59    25.90    28.98    30.55    32.52
1973    25.10    22.54    25.56    28.74    30.64    32.81
1974    25.06    22.38    25.28    28.67    30.66    32.98
1975    24.95    22.29    25.20    28.65    30.91    33.01
1976    24.90    22.28    25.18    28.71    30.88    32.96
1977    24.83    22.28    25.12    28.69    31.09    33.20
1978    24.77    22.22    25.06    28.66    30.99    33.08
1979    24.70    22.21    25.05    28.65    30.97    32.77
1980    24.59    22.30    25.21    28.67    30.81    32.78
1981    24.66    22.44    25.36    28.84    30.96    32.86
1982    24.63    22.45    25.32    28.71    30.76    32.82
1983    24.61    22.42    25.41    28.75    30.93    32.72
1984    24.58    22.39    25.42    28.76    30.78    32.56
1985    24.62    22.42    25.50    28.83    30.79    32.54
1986    24.69    22.48    25.63    28.98    30.85    32.74
1987    24.73    22.53    25.70    29.16    31.03    32.61
1988    24.77    22.52    25.72    29.18    30.94    32.74
1989    24.83    22.61    25.89    29.35    31.18    32.79
1990    24.84    22.59    25.85    29.36    31.15    32.83
1991    24.82    22.56    25.95    29.44    31.21    32.87
1992    25.00    22.90    26.25    29.43    31.10    32.79
1993    25.24    23.22    26.45    29.50    31.05    32.38
1994    25.70    23.94    27.01    29.98    31.20    32.61
1995    26.22    24.68    27.60    30.44    31.49    32.63
1996    26.62    25.20    28.06    30.79    31.59    32.53
1997    26.95    25.61    28.36    30.84    31.76    32.56
1998    27.22    25.95    28.59    30.99    31.82    32.56
1999    27.46    26.22    28.85    31.08    31.62    32.62
2000    27.75    26.51    29.12    31.33    31.76    32.60
2001    28.11    26.89    29.45    31.65    32.00    32.49
2002    28.34    27.13    29.64    31.83    32.12    32.65
2003    28.57    27.36    29.90    31.84    31.98    32.58
2004    28.83    27.62    30.12    31.99    31.96    32.49
2005    29.04    27.78    30.30    32.23    32.36    32.93
2006    29.28    28.00    30.53    32.36    32.50    32.80
2007    29.44    28.06    30.54    32.50    32.81    33.19
2008    29.55    28.05    30.69    32.70    33.22    33.74
2009    29.63    28.16    30.76    32.77    32.90    33.28
2010    29.78    28.31    30.93    32.73    32.77    33.13
2011    29.95    28.55    31.18    33.03    32.96    32.93
2012    30.00    28.62    31.20    32.82    32.85    33.06
2013    30.10    28.72    31.29    32.78    32.83    33.21
2014    30.09    28.62    31.24    32.73    32.99    33.22
2015    30.10    28.58    31.23    32.92    32.97    33.53
2016    30.05    28.41    31.21    32.88    33.02    33.73
2017    30.06    28.31    31.19    33.03    33.34    33.79
2018    30.16    28.39    31.24    33.15    33.77    33.98
2019    30.21    28.45    31.28    33.28    33.76    34.27
2020    30.26    28.46    31.35    33.39    33.88    34.27
2021    30.39    28.60    31.38    33.57    34.38    34.93
