Czechia, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 02/02/2023
Year       MAB     MAB40
1950     27.26     26.75
1951     27.07     26.58
1952     27.00     26.54
1953     26.97     26.51
1954     26.86     26.43
1955     26.75     26.33
1956     26.54     26.16
1957     26.32     25.98
1958     25.97     25.71
1959     25.53     25.31
1960     25.45     25.26
1961     25.42     25.24
1962     25.32     25.15
1963     25.44     25.29
1964     25.58     25.40
1965     25.55     25.37
1966     25.36     25.20
1967     25.16     25.01
1968     25.07     24.93
1969     25.03     24.89
1970     24.99     24.85
1971     25.12     24.99
1972     25.13     25.02
1973     25.25     25.14
1974     25.24     25.14
1975     25.13     25.03
1976     25.07     24.98
1977     24.99     24.89
1978     24.92     24.83
1979     24.84     24.75
1980     24.67     24.58
1981     24.69     24.59
1982     24.64     24.55
1983     24.59     24.50
1984     24.55     24.47
1985     24.58     24.51
1986     24.64     24.57
1987     24.68     24.60
1988     24.73     24.66
1989     24.76     24.69
1990     24.77     24.69
1991     24.72     24.64
1992     24.83     24.74
1993     25.04     24.95
1994     25.37     25.26
1995     25.76     25.64
1996     26.08     25.97
1997     26.36     26.25
1998     26.63     26.50
1999     26.86     26.72
2000     27.19     27.04
2001     27.55     27.38
2002     27.81     27.64
2003     28.06     27.87
2004     28.34     28.15
2005     28.61     28.42
2006     28.89     28.68
2007     29.14     28.92
2008     29.32     29.09
2009     29.41     29.17
2010     29.57     29.32
2011     29.69     29.42
2012     29.76     29.48
2013     29.86     29.56
2014     29.94     29.65
2015     30.00     29.68
2016     30.00     29.67
2017     30.05     29.71
2018     30.15     29.78
2019     30.20     29.82
2020     30.25     29.86
2021     30.42     30.02
