Czechia, Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 02/02/2023
Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
1951     2.484     0.960     0.723     0.395     0.189     0.217
1952     2.555     0.980     0.752     0.402     0.205     0.215
1953     2.438     0.888     0.733     0.411     0.198     0.208
1954     2.403     0.874     0.768     0.371     0.182     0.207
1955     2.352     0.868     0.748     0.358     0.183     0.196
1956     2.274     0.875     0.693     0.355     0.175     0.175
1957     2.239     0.936     0.666     0.308     0.156     0.172
1958     2.097     0.917     0.663     0.276     0.110     0.131
1959     1.994     0.888     0.686     0.249     0.083     0.088
1960     2.118     0.952     0.722     0.263     0.090     0.092
1961     2.078     0.940     0.714     0.248     0.089     0.087
1962     2.100     0.906     0.757     0.275     0.085     0.077
1963     2.462     0.977     0.911     0.380     0.103     0.091
1964     2.419     0.971     0.838     0.386     0.127     0.097
1965     2.087     0.864     0.726     0.299     0.105     0.092
1966     1.899     0.815     0.678     0.241     0.084     0.081
1967     1.890     0.874     0.644     0.222     0.074     0.076
1968     1.860     0.873     0.618     0.215     0.080     0.073
1969     1.897     0.873     0.649     0.220     0.082     0.073
1970     2.077     0.973     0.747     0.233     0.060     0.065
1971     2.072     1.003     0.732     0.223     0.061     0.053
1972     2.032     0.952     0.753     0.208     0.069     0.050
1973     2.250     0.945     0.925     0.258     0.070     0.053
1974     2.310     0.955     0.935     0.302     0.072     0.045
1975     2.266     0.963     0.895     0.302     0.069     0.037
1976     2.243     0.987     0.837     0.306     0.072     0.040
1977     2.199     0.970     0.825     0.296     0.070     0.039
1978     2.207     0.967     0.844     0.302     0.064     0.029
1979     2.138     0.947     0.813     0.285     0.063     0.030
1980     2.054     0.926     0.778     0.255     0.060     0.035
1981     2.006     0.896     0.769     0.251     0.059     0.032
1982     1.973     0.870     0.770     0.242     0.064     0.027
1983     1.978     0.887     0.759     0.251     0.058     0.024
1984     2.034     0.943     0.768     0.246     0.053     0.025
1985     2.098     0.964     0.800     0.249     0.058     0.027
1986     2.076     0.956     0.777     0.256     0.059     0.027
1987     2.012     0.928     0.763     0.241     0.056     0.023
1988     2.052     0.937     0.785     0.249     0.057     0.024
1989     1.952     0.908     0.729     0.233     0.057     0.026
1990     1.926     0.877     0.742     0.227     0.056     0.024
1991     1.926     0.927     0.726     0.196     0.053     0.023
1992     1.867     0.904     0.707     0.186     0.049     0.021
1993     2.036     0.961     0.774     0.225     0.050     0.025
1994     2.078     1.000     0.758     0.241     0.053     0.026
1995     1.968     0.897     0.776     0.215     0.056     0.024
1996     1.782     0.813     0.718     0.172     0.055     0.025
1997     1.708     0.800     0.662     0.168     0.051     0.027
1998     1.629     0.737     0.650     0.168     0.041     0.034
1999     1.644     0.754     0.661     0.165     0.039     0.025
2000     1.777     0.856     0.662     0.190     0.046     0.021
2001     1.699     0.806     0.626     0.197     0.046     0.024
2002     1.632     0.784     0.617     0.164     0.041     0.026
2003     1.697     0.861     0.630     0.147     0.036     0.024
2004     1.773     0.918     0.628     0.165     0.039     0.023
2005     1.801     0.920     0.652     0.168     0.042     0.019
2006     1.752     0.893     0.631     0.168     0.039     0.020
2007     1.833     0.858     0.709     0.192     0.048     0.026
2008     1.811     0.870     0.700     0.181     0.038     0.023
2009     1.718     0.868     0.652     0.149     0.031     0.018
2010     1.779     0.885     0.678     0.162     0.036     0.018
2011     1.636     0.823     0.611     0.146     0.038     0.018
2012     1.621     0.849     0.590     0.127     0.034     0.021
2013     1.595     0.823     0.576     0.141     0.035     0.020
2014     1.657     0.825     0.600     0.173     0.035     0.024
2015     1.677     0.833     0.617     0.167     0.034     0.026
2016     1.711     0.854     0.634     0.163     0.040     0.019
2017     1.823     0.953     0.630     0.172     0.047     0.021
2018     1.867     0.994     0.629     0.171     0.042     0.030
2019     1.840     0.949     0.653     0.176     0.035     0.027
2020     1.947     1.019     0.677     0.178     0.046     0.028
