Iceland, Standard deviation in period mean ages at birth by birth order and standard deviation in period mean ages at birth by birth order by age 40
Last modified: 06/09/2023
Year      sdMAB      sdMAB1      sdMAB2      sdMAB3      sdMAB4     sdMAB5p     sdMAB40   sdMAB40_1   sdMAB40_2   sdMAB40_3   sdMAB40_4  sdMAB40_5p
1990       5.60        4.31        4.52        4.14        3.95        3.80        5.38        4.21        4.28        3.94        3.67        3.33
1991       5.71        4.50        4.46        4.23        3.97        4.10        5.40        4.45        4.28        3.99        3.50        3.11
1992       5.64        4.64        4.26        4.05        4.25        4.51        5.33        4.48        4.13        3.84        3.67        3.57
1993       5.62        4.58        4.48        4.09        4.17        4.23        5.26        4.49        4.29        3.76        3.59        3.25
1994       5.63        4.81        4.53        4.29        3.96        3.80        5.33        4.64        4.31        3.96        3.64        2.88
1995       5.62        4.91        4.59        4.11        3.63        3.83        5.33        4.64        4.37        3.80        3.34        2.82
1996       5.61        4.65        4.65        4.21        4.01        3.57        5.33        4.58        4.40        3.90        3.59        2.81
1997       5.68        4.98        4.51        4.25        4.02        4.65        5.36        4.71        4.32        3.86        3.66        3.85
1998       5.71        4.96        4.62        4.29        4.14        4.13        5.36        4.75        4.28        4.04        3.58        3.14
1999       5.68        4.76        4.76        4.26        4.20        3.79        5.41        4.67        4.52        3.99        3.73        3.30
2000       5.61        4.79        4.62        4.22        4.18        4.28        5.27        4.68        4.32        3.83        3.63        3.19
2001       5.66        4.89        4.65        4.36        4.20        4.12        5.32        4.72        4.45        4.01        3.58        3.04
2002       5.64        5.13        4.63        4.27        4.00        4.09        5.30        4.88        4.41        3.88        3.49        3.28
2003       5.47        4.81        4.44        4.12        4.41        4.53        5.09        4.58        4.16        3.77        3.86        3.56
2004       5.45        4.79        4.48        4.21        4.38        3.53        5.09        4.58        4.22        3.78        3.75        2.72
2005       5.54        4.99        4.71        4.36        3.98        4.16        5.19        4.83        4.39        3.96        3.36        3.47
2006       5.52        5.09        4.47        4.20        3.98        4.50        5.19        4.93        4.17        3.91        3.30        3.51
2007       5.51        5.15        4.65        4.19        4.29        4.40        5.15        4.85        4.33        3.87        3.55        3.47
2008       5.59        5.00        4.71        4.31        3.88        4.02        5.18        4.75        4.31        3.89        3.36        3.01
2009       5.54        5.08        4.61        4.36        4.13        4.13        5.12        4.75        4.22        3.92        3.61        2.99
2010       5.51        5.09        4.61        4.24        4.15        3.95        5.15        4.83        4.28        3.83        3.65        3.53
2011       5.51        5.25        4.64        4.19        3.88        4.31        5.05        4.78        4.31        3.73        3.10        3.62
2012       5.49        5.10        4.57        4.22        4.05        3.89        5.06        4.81        4.23        3.68        3.40        3.12
2013       5.54        5.27        4.67        4.26        4.52        4.23        5.03        4.78        4.30        3.72        3.59        3.17
2014       5.48        5.27        4.67        4.17        4.05        4.43        5.03        4.79        4.36        3.71        3.55        3.12
2015       5.46        5.15        4.71        4.25        4.28        3.56        5.00        4.80        4.25        3.81        3.59        2.39
2016       5.45        5.19        4.69        4.16        4.27        4.45        4.92        4.71        4.21        3.72        3.52        3.02
2017       5.42        5.18        4.67        4.31        4.37        4.09        4.91        4.74        4.23        3.78        3.46        3.39
2018       5.40        5.30        4.67        4.19        4.18        3.99        4.91        4.80        4.24        3.76        3.49        3.36
2019       5.45        5.37        4.79        4.09        4.25        3.59        4.87        4.81        4.31        3.47        3.36        2.71
2020       5.26        5.08        4.69        4.26        4.49        4.67        4.71        4.56        4.18        3.73        3.72        3.41
2021       5.20        4.94        4.64        4.35        4.32        4.20        4.69        4.59        4.13        3.84        3.61        3.29
