Iceland, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 06/09/2023
Cohort   sdCMAB   sdCMAB40
1945       5.72       5.47
1946       5.66       5.39
1947       5.76       5.45
1948       5.84       5.50
1949       5.86       5.55
1950       5.87       5.50
1951       5.89       5.60
1952       6.05       5.70
1953       6.11       5.77
1954       6.23       5.85
1955       6.14       5.84
1956       6.14       5.83
1957       6.10       5.84
1958       6.09       5.83
1959       6.08       5.77
1960       6.16       5.74
1961       6.05       5.75
1962       6.09       5.66
1963       5.99       5.62
1964       5.99       5.64
1965       5.94       5.54
1966       6.04       5.57
1967       5.96       5.53
1968       6.12       5.57
1969       6.13       5.59
1970       6.05       5.65
1971       6.09       5.71
1972          .       5.56
1973          .       5.59
1974          .       5.60
1975          .       5.49
1976          .       5.39
1977          .       5.44
1978          .       5.38
1979          .       5.39
1980          .       5.31
1981          .       5.36
