Austria, Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 05/08/2021
Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
1969     1.615     0.793     0.567     0.184     0.051     0.021     1.570     0.780     0.553     0.174     0.046     0.017
1970         .         .         .         .         .         .     1.577     0.781     0.555     0.178     0.047     0.017
1971         .         .         .         .         .         .     1.583     0.781     0.557     0.179     0.048     0.018
1972         .         .         .         .         .         .     1.597     0.782     0.559     0.184     0.051     0.021
1973         .         .         .         .         .         .     1.605     0.785     0.564     0.186     0.050     0.020
1974         .         .         .         .         .         .     1.603     0.785     0.563     0.184     0.049     0.020
1975         .         .         .         .         .         .     1.590     0.782     0.558     0.181     0.050     0.020
1976         .         .         .         .         .         .     1.579     0.779     0.552     0.181     0.047     0.021
1977         .         .         .         .         .         .     1.574     0.771     0.553     0.180     0.049     0.021
1978         .         .         .         .         .         .     1.579     0.777     0.555     0.178     0.048     0.020
1979         .         .         .         .         .         .     1.567     0.774     0.551     0.176     0.046     0.019
