Austria, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 05/08/2021
Cohort   sdCMAB   sdCMAB40
1936       5.30       5.02
1937       5.22       4.96
1938       5.18       4.93
1939       5.10       4.86
1940       5.08       4.84
1941       5.10       4.85
1942       5.17       4.90
1943       5.14       4.91
1944       5.20       4.96
1945       5.31       5.05
1946       5.29       5.05
1947       5.30       5.07
1948       5.36       5.12
1949       5.40       5.14
1950       5.45       5.20
1951       5.45       5.21
1952       5.47       5.21
1953       5.50       5.24
1954       5.52       5.26
1955       5.57       5.30
1956       5.60       5.32
1957       5.59       5.31
1958       5.60       5.31
1959       5.60       5.28
1960       5.63       5.29
1961       5.62       5.28
1962       5.64       5.29
1963       5.65       5.29
1964       5.65       5.28
1965       5.68       5.29
1966       5.66       5.27
1967       5.74       5.32
1968       5.76       5.33
1969       5.78       5.36
1970          .       5.38
1971          .       5.44
1972          .       5.50
1973          .       5.55
1974          .       5.53
1975          .       5.52
1976          .       5.51
1977          .       5.51
1978          .       5.48
1979          .       5.46
