Austria, Total live births
Last modified: 05/08/2021
Year         Total
1951     102764.00
1952     103012.00
1953     102867.00
1954     103985.00
1955     108575.00
1956     115827.00
1957     118712.00
1958     119755.00
1959     124377.00
1960     125945.00
1961     131563.00
1962     133253.00
1963     134809.00
1964     133841.00
1965     129924.00
1966     128577.00
1967     127404.00
1968     126115.00
1969     121377.00
1970     112301.00
1971     108510.00
1972     104033.00
1973      98041.00
1974      97430.00
1975      93757.00
1976      87446.00
1977      85595.00
1978      85402.00
1979      86388.00
1980      90872.00
1981      93942.00
1982      94840.00
1983      90118.00
1984      89234.00
1985      87440.00
1986      86964.00
1987      86503.00
1988      88052.00
1989      88759.00
1990      90454.00
1991      94629.00
1992      95302.00
1993      95227.00
1994      92415.00
1995      88669.00
1996      88809.00
1997      84045.00
1998      81233.00
1999      78138.00
2000      78268.00
2001      75458.00
2002      78399.00
2003      76944.00
2004      78968.00
2005      78190.00
2006      77914.00
2007      76250.00
2008      77752.00
2009      76344.00
2010      78742.00
2011      78109.00
2012      78952.00
2013      79330.00
2014      81722.00
2015      84381.00
2016      87675.00
2017      87633.00
2018      85535.00
2019      84952.00
