Austria, Period table mean ages at birth by birth order
Last modified: 05/08/2021
Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
1991    27.24    25.43    28.05    30.71    32.63    34.59
1992    27.30    25.52    28.08    30.66    32.62    34.47
1993    27.35    25.64    28.06    30.70    32.58    34.40
1994    27.56    25.94    28.29    30.87    32.61    34.34
1995    27.75    26.21    28.50    30.98    32.86    34.57
1996    27.91    26.40    28.63    31.07    32.93    34.43
1997    28.03    26.53    28.85    31.31    33.18    34.96
1998    28.13    26.73    28.92    31.19    32.85    34.67
1999    28.29    26.92    29.15    31.21    32.78    34.68
2000    28.33    26.96    29.13    31.25    32.79    34.50
2001    28.51    27.17    29.36    31.46    32.87    34.52
2002    28.68    27.31    29.47    31.38    32.75    34.38
2003    28.88    27.51    29.65    31.69    33.14    34.83
2004    28.94    27.55    29.69    31.49    32.95    34.88
2005    29.14    27.75    29.94    31.67    33.08    34.85
2006    29.33    27.95    30.15    31.81    33.20    35.22
2007    29.51    28.19    30.26    32.04    33.50    35.07
2008    29.60    28.23    30.38    32.15    33.48    35.30
2009    29.81    28.45    30.66    32.31    33.60    35.09
2010    29.95    28.62    30.74    32.41    33.72    35.02
2011    30.17    28.83    31.01    32.63    33.93    35.41
2012    30.33    28.98    31.20    32.86    34.25    35.51
2013    30.47    29.12    31.36    33.01    34.15    35.40
2014    30.52    29.16    31.41    32.96    33.97    35.13
2015    30.67    29.33    31.57    33.02    33.94    35.20
2016    30.72    29.41    31.56    32.80    33.66    34.66
2017    30.82    29.49    31.66    32.95    33.90    35.07
2018    31.01    29.73    31.85    33.15    34.06    35.71
2019    31.18    29.91    32.02    33.31    34.38    35.71
