Austria, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 05/08/2021
Year       MAB     MAB40
1951     28.05     27.41
1952     27.98     27.38
1953     27.89     27.30
1954     27.87     27.29
1955     27.85     27.31
1956     27.83     27.29
1957     27.80     27.26
1958     27.69     27.19
1959     27.63     27.13
1960     27.58     27.10
1961     27.52     27.05
1962     27.47     26.99
1963     27.41     26.95
1964     27.38     26.89
1965     27.26     26.80
1966     27.11     26.66
1967     26.97     26.54
1968     26.85     26.42
1969     26.76     26.34
1970     26.67     26.25
1971     26.67     26.22
1972     26.53     26.08
1973     26.41     25.97
1974     26.31     25.87
1975     26.27     25.87
1976     26.24     25.88
1977     26.27     25.91
1978     26.25     25.93
1979     26.27     25.98
1980     26.27     26.01
1981     26.33     26.09
1982     26.35     26.11
1983     26.47     26.24
1984     26.56     26.35
1985     26.68     26.48
1986     26.77     26.56
1987     26.91     26.70
1988     26.95     26.75
1989     27.07     26.88
1990     27.21     27.01
1991     27.22     27.03
1992     27.26     27.07
1993     27.31     27.11
1994     27.50     27.29
1995     27.66     27.45
1996     27.81     27.60
1997     27.93     27.70
1998     28.02     27.79
1999     28.15     27.90
2000     28.22     27.98
2001     28.39     28.12
2002     28.57     28.30
2003     28.77     28.48
2004     28.84     28.56
2005     29.03     28.73
2006     29.21     28.88
2007     29.37     29.04
2008     29.49     29.14
2009     29.68     29.31
2010     29.83     29.46
2011     30.03     29.63
2012     30.19     29.78
2013     30.32     29.89
2014     30.42     30.00
2015     30.57     30.12
2016     30.63     30.17
2017     30.72     30.26
2018     30.86     30.36
2019     31.01     30.49
