Austria, Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 05/08/2021
Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
1985     1.735     0.793     0.589     0.233     0.079     0.042
1986     1.705     0.787     0.573     0.222     0.081     0.042
1987     1.647     0.783     0.544     0.212     0.070     0.037
1988     1.600     0.751     0.542     0.209     0.067     0.030
1989     1.664     0.761     0.579     0.226     0.066     0.033
1990     1.614     0.721     0.586     0.213     0.062     0.033
1991     1.578     0.733     0.549     0.198     0.070     0.029
1992     1.600     0.775     0.520     0.213     0.063     0.028
1993     1.717     0.854     0.573     0.206     0.057     0.027
1994     1.801     0.908     0.608     0.196     0.062     0.027
1995     1.739     0.877     0.579     0.198     0.061     0.024
1996     1.731     0.808     0.620     0.215     0.062     0.025
1997     1.585     0.750     0.571     0.188     0.050     0.027
1998     1.563     0.765     0.567     0.164     0.045     0.021
1999     1.519     0.727     0.545     0.179     0.049     0.019
2000     1.583     0.737     0.583     0.197     0.048     0.018
2001     1.606     0.785     0.577     0.180     0.047     0.017
2002     1.681     0.828     0.570     0.206     0.057     0.020
2003     1.587     0.768     0.550     0.192     0.053     0.024
2004     1.638     0.808     0.581     0.174     0.053     0.022
2005     1.728     0.860     0.591     0.197     0.054     0.025
2006     1.687     0.840     0.550     0.215     0.062     0.021
2007     1.613     0.764     0.559     0.210     0.059     0.022
2008     1.704     0.803     0.634     0.190     0.050     0.027
2009     1.710     0.867     0.579     0.189     0.053     0.021
2010     1.789     0.919     0.592     0.195     0.058     0.025
2011     1.778     0.891     0.603     0.194     0.060     0.029
2012     1.712     0.846     0.592     0.199     0.051     0.023
2013     1.628     0.810     0.581     0.175     0.041     0.022
2014     1.680     0.856     0.583     0.172     0.046     0.023
2015     1.648     0.848     0.568     0.163     0.048     0.021
2016     1.622     0.791     0.574     0.182     0.051     0.024
2017     1.706     0.833     0.575     0.205     0.056     0.037
2018     1.718     0.847     0.574     0.203     0.062     0.031
