Sweden, Standard deviation in cohort mean ages at birth by birth order and standard deviation in cohort mean ages at birth by birth order by age 40
Last modified: 14/04/2023
Cohort   sdCMAB     sdCMAB1     sdCMAB2     sdCMAB3     sdCMAB4    sdCMAB5p    sdCMAB40  sdCMAB40_1  sdCMAB40_2  sdCMAB40_3  sdCMAB40_4 sdCMAB40_5p
1955       5.71        5.32        4.91        4.47        4.19        4.20        5.43        5.13        4.67        4.15        3.74        3.38
1956       5.66        5.36        4.87        4.38        4.26        4.15        5.37        5.16        4.63        4.08        3.75        3.31
1957       5.55        5.32        4.81        4.32        4.14        4.12        5.26        5.10        4.57        4.01        3.61        3.25
1958       5.46        5.28        4.75        4.30        4.19        4.33        5.15        5.06        4.50        3.95        3.65        3.29
1959       5.38        5.23        4.71        4.30        4.21        4.41        5.06        4.99        4.44        3.93        3.63        3.43
1960       5.35        5.19        4.69        4.42        4.36        4.45        4.99        4.92        4.40        3.98        3.66        3.40
1961       5.29        5.14        4.67        4.46        4.42        4.50        4.91        4.84        4.35        4.02        3.75        3.63
1962       5.32        5.12        4.72        4.60        4.63        4.67        4.91        4.82        4.38        4.10        3.87        3.68
1963       5.32        5.12        4.74        4.62        4.75        4.82        4.88        4.78        4.36        4.13        4.02        3.75
1964       5.35        5.08        4.79        4.77        4.80        4.84        4.92        4.77        4.42        4.26        4.07        3.73
1965       5.44        5.17        4.86        4.88        4.94        5.05        4.98        4.83        4.47        4.35        4.20        3.91
1966       5.51        5.25        4.96        4.92        5.00        5.08        5.03        4.90        4.56        4.41        4.26        3.90
1967       5.59        5.35        5.03        5.00        5.07        4.91        5.12        4.98        4.63        4.50        4.36        3.82
1968       5.68        5.48        5.14        5.07        4.99        4.83        5.22        5.11        4.75        4.54        4.28        3.81
1969       5.72        5.54        5.19        5.03        4.96        4.84        5.27        5.19        4.81        4.56        4.22        3.85
1970       5.76        5.62        5.21        4.97        4.88        4.89        5.32        5.28        4.85        4.49        4.19        3.72
1971       5.72        5.65        5.20        4.89        4.84        4.75        5.29        5.30        4.83        4.43        4.19        3.82
1972       5.65        5.59        5.10        4.83        4.76        4.66        5.23        5.25        4.74        4.38        4.08        3.58
1973          .           .           .           .           .           .        5.14        5.17        4.63        4.31        4.05        3.61
1974          .           .           .           .           .           .        5.03        5.06        4.52        4.18        4.01        3.64
1975          .           .           .           .           .           .        4.97        5.01        4.47        4.16        3.94        3.46
1976          .           .           .           .           .           .        4.91        4.91        4.41        4.17        4.02        3.55
1977          .           .           .           .           .           .        4.86        4.87        4.35        4.07        3.96        3.54
1978          .           .           .           .           .           .        4.83        4.82        4.34        4.07        3.86        3.33
1979          .           .           .           .           .           .        4.84        4.83        4.33        4.10        3.90        3.49
1980          .           .           .           .           .           .        4.85        4.84        4.33        4.08        3.91        3.49
1981          .           .           .           .           .           .        4.84        4.84        4.33        4.03        3.82        3.44
1982          .           .           .           .           .           .        4.85        4.85        4.33        4.08        3.93        3.50
