Ukraine, Total live births by birth order
Last modified: 13/11/2015
Year         Total            B1            B2            B3            B4           B5p
1959     880552.00     419721.54     269852.50     106799.67      42368.05      41810.21
1960     878768.01     419567.76     272723.65     105803.99      40648.49      40024.08
1961     843482.01     391313.45     276719.55     100890.40      37976.21      36582.40
1962     823151.04     393618.08     261769.41      97465.89      36177.92      34119.73
1963     794969.03     366308.35     264386.24      96361.05      34893.68      33019.71
1964     741668.05     341872.42     250613.24      87898.51      31500.30      29783.45
1965     692153.01     308793.35     242230.18      83467.89      29819.12      27842.49
1966     713492.01     317035.92     248805.51      87561.67      31142.52      28946.45
1967     699381.02     317438.39     242360.59      83674.60      29108.65      26798.66
1968     693064.00     323358.48     238147.59      78453.73      27449.41      25654.75
1969     687991.00     324078.79     240545.00      74264.16      25432.73      23670.36
1970     719213.03     354306.91     242721.97      75078.02      24217.52      22888.61
1971     736690.96     374970.92     242343.84      74083.07      23518.81      21774.40
1972     745696.01     386222.97     243525.11      72477.66      22916.72      20553.52
1973     719559.90     381291.97     232432.76      65956.03      20815.81      19063.46
1974     736615.96     386097.22     243375.58      66048.73      21105.37      19989.04
1975     738857.02     385696.09     246288.01      66287.10      20598.56      19987.26
1976     747068.98     394444.86     249125.49      63811.91      19958.06      19728.53
1977     726217.02     377582.14     250204.40      61708.50      18669.68      18052.27
1978     732186.96     390437.76     248784.09      57849.84      17813.93      17301.33
1979     735188.00     396762.27     250267.57      55853.51      16408.27      15896.38
1980     742488.99     405254.95     252406.47      53966.16      15879.26      14982.11
1981     733183.02     379755.59     265573.24      56819.46      16287.22      14747.48
1982     745591.00     379734.72     274069.96      60273.43      16530.90      14982.06
1983     807111.01     385419.34     317101.76      71229.95      18023.97      15335.93
1984     792035.01     380649.41     307381.02      70676.33      18118.09      15210.09
1985     762774.98     360591.87     298999.88      69532.50      18311.83      15338.86
1986     792574.02     360049.41     317376.41      77443.40      20335.41      17369.38
1987     760851.02     350662.78     299485.23      73746.84      19781.99      17174.11
1988     744055.97     355247.82     285348.11      68292.35      18258.62      16909.05
1989     690981.00     341552.67     257315.23      60202.83      16466.52      15443.71
1990     657202.00     343657.06     229605.42      54208.92      15174.57      14556.08
1991     630813.01     342831.47     208809.12      50604.26      14930.29      13637.90
1992     596785.05     333462.56     190858.33      46321.62      13550.24      12592.30
1993     557466.99     313603.70     177064.78      42308.88      12609.14      11880.54
1994     521544.98     302316.49     158642.60      37967.41      11595.94      11022.44
1995     492861.00     290437.79     147419.80      34547.79      10551.77       9903.79
1996     467211.07     278520.36     137739.43      31879.36       9825.37       9246.41
1997     442581.01     263304.81     130579.77      30253.81       9466.82       8975.79
1998     419237.98     249751.42     123251.41      28527.37       9056.40       8651.44
1999     389208.06     230832.81     115096.31      26558.79       8540.78       8179.39
2000     385126.01     231288.14     112940.56      25463.69       7927.30       7506.32
2001     376477.99     226311.65     111546.17      24096.78       7503.37       7020.07
2002     390687.99     232445.95     118343.41      25312.98       7553.13       7032.47
2003     408588.96     243335.34     124523.10      26153.98       7520.63       7055.97
2004     427259.01     258135.19     127611.86      26718.01       7752.32       7041.54
2005     426086.05     251675.79     131214.11      27988.08       8057.96       7150.08
2006     460367.99     261724.06     149985.56      32003.45       8928.12       7726.78
2007     472657.01     267842.41     154771.29      33029.10       9265.62       7748.59
2008     510589.03     281649.56     170310.35      39523.31      10447.36       8658.32
2009     512525.02     272005.86     176327.35      43465.87      11470.60       9255.21
2010     497688.97     252920.18     175657.36      46267.79      12848.03       9995.60
2011     502594.98     245851.22     180852.95      50494.25      14244.79      11151.85
2012     520705.02     250481.10     187952.21      54553.76      15566.85      12151.11
2013     503657.03     237060.49     183259.56      55076.15      15923.54      12337.17
