Ukraine, Period table mean ages at birth by birth order
Last modified: 13/11/2015
Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
1979    25.46    22.58    27.33    30.38    31.95    34.62
1980    25.32    22.46    27.27    30.29    31.83    34.45
1981    25.43    22.59    27.28    30.35    31.74    34.48
1982    25.35    22.51    27.09    30.06    31.62    34.33
1983    25.43    22.41    26.82    29.91    31.63    34.25
1984    25.30    22.31    26.74    29.92    31.63    34.26
1985    25.28    22.40    26.74    29.87    31.58    34.21
1986    25.40    22.34    26.61    29.96    31.82    34.43
1987    25.29    22.33    26.61    29.97    31.85    34.46
1988    25.13    22.24    26.62    29.91    31.71    34.35
1989    24.99    22.29    26.69    29.87    31.66    34.27
1990    24.79    22.24    26.70    29.64    31.35    33.99
1991    24.69    22.25    26.73    29.48    30.97    33.68
1992    24.61    22.34    26.78    29.36    30.87    33.46
1993    24.66    22.58    26.90    29.27    30.70    33.44
1994    24.67    22.76    27.03    29.22    30.62    33.33
1995    24.67    22.90    27.06    29.06    30.35    33.00
1996    24.72    23.07    27.13    29.00    30.27    32.88
1997    24.90    23.36    27.30    29.13    30.37    32.95
1998    25.06    23.62    27.43    29.22    30.45    32.99
1999    25.30    24.00    27.62    29.37    30.57    33.06
2000    25.35    24.04    27.72    29.55    30.69    33.24
2001    25.58    24.29    27.96    29.84    30.88    33.36
2002    25.69    24.31    28.02    29.91    31.08    33.43
2003    25.86    24.38    28.17    30.17    31.24    33.45
2004    25.97    24.39    28.33    30.38    31.38    33.57
2005    26.21    24.60    28.53    30.53    31.52    33.64
2006    26.37    24.59    28.45    30.56    31.67    33.80
2007    26.49    24.64    28.51    30.68    31.84    34.04
2008    26.63    24.54    28.48    30.70    31.89    33.95
2009    26.86    24.71    28.60    30.88    32.14    34.26
2010    27.10    24.98    28.70    30.96    32.32    34.41
2011    27.28    25.05    28.75    31.04    32.42    34.60
2012    27.35    24.98    28.68    31.09    32.53    34.66
2013    27.43    25.12    28.77    31.14    32.60    34.70
