Hungary, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 08/03/2022
Cohort   sdCMAB   sdCMAB40
1935       5.22       4.96
1936       5.22       4.99
1937       5.22       5.02
1938       5.23       5.03
1939       5.21       5.02
1940       5.16       4.99
1941       5.13       4.95
1942       5.07       4.90
1943       5.00       4.84
1944       4.93       4.75
1945       4.89       4.69
1946       4.87       4.66
1947       4.84       4.63
1948       4.85       4.63
1949       4.89       4.66
1950       4.87       4.65
1951       4.91       4.67
1952       4.98       4.73
1953       5.02       4.78
1954       5.07       4.83
1955       5.10       4.89
1956       5.16       4.94
1957       5.25       5.02
1958       5.26       5.03
1959       5.30       5.05
1960       5.33       5.06
1961       5.32       5.05
1962       5.34       5.07
1963       5.37       5.06
1964       5.40       5.08
1965       5.42       5.10
1966       5.52       5.17
1967       5.62       5.26
1968       5.69       5.34
1969       5.82       5.44
1970       5.94       5.54
1971          .       5.61
1972          .       5.67
1973          .       5.72
1974          .       5.73
1975          .       5.74
1976          .       5.75
1977          .       5.78
1978          .       5.80
1979          .       5.81
1980          .       5.81
