Hungary, Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 08/03/2022
Year    adjTFR
1953     2.833
1954     2.707
1955     2.435
1956     2.153
1957     2.008
1958     2.024
1959     1.910
1960     1.920
1961     1.954
1962     1.936
1963     2.005
1964     1.859
1965     1.832
1966     1.933
1967     2.028
1968     2.070
1969     2.003
1970     1.874
1971     1.830
1972     1.880
1973     1.898
1974     2.201
1975     2.191
1976     2.076
1977     2.026
1978     1.920
1979     1.926
1980     1.958
1981     1.988
1982     1.936
1983     1.898
1984     1.909
1985     2.104
1986     2.114
1987     2.003
1988     1.949
1989     1.905
1990     1.989
1991     2.029
1992     1.928
1993     1.901
1994     1.886
1995     1.891
1996     1.752
1997     1.695
1998     1.748
1999     1.704
2000     1.763
2001     1.756
2002     1.716
2003     1.758
2004     1.803
2005     1.707
2006     1.701
2007     1.552
2008     1.574
2009     1.715
2010     1.526
2011     1.313
2012     1.337
2013     1.383
2014     1.557
2015     1.520
2016     1.563
2017     1.656
2018     1.587
2019     1.559
