Hungary, Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 08/03/2022
Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
1937     1.977     0.913     0.645     0.223     0.087     0.108     1.960     0.911     0.642     0.220     0.085     0.102
1938     1.949     0.909     0.642     0.211     0.084     0.102     1.933     0.907     0.639     0.208     0.082     0.097
1939     1.932     0.909     0.643     0.208     0.078     0.093     1.917     0.907     0.640     0.205     0.076     0.088
1940     1.923     0.910     0.649     0.206     0.074     0.084     1.910     0.908     0.647     0.203     0.073     0.080
1941     1.931     0.917     0.658     0.202     0.072     0.083     1.918     0.915     0.655     0.199     0.071     0.078
1942     1.898     0.908     0.656     0.196     0.067     0.071     1.886     0.907     0.654     0.193     0.066     0.067
1943     1.918     0.918     0.672     0.197     0.065     0.067     1.905     0.916     0.670     0.194     0.063     0.063
1944     1.918     0.914     0.680     0.199     0.063     0.062     1.905     0.912     0.677     0.196     0.061     0.059
1945     1.906     0.907     0.682     0.199     0.061     0.057     1.891     0.905     0.679     0.195     0.059     0.054
1946     1.914     0.913     0.691     0.197     0.059     0.054     1.900     0.911     0.688     0.193     0.057     0.051
1947     1.928     0.917     0.701     0.201     0.058     0.051     1.914     0.915     0.698     0.197     0.056     0.048
1948     1.946     0.915     0.710     0.207     0.061     0.053     1.931     0.913     0.708     0.203     0.058     0.049
1949     1.974     0.916     0.724     0.213     0.064     0.057     1.958     0.915     0.721     0.208     0.061     0.053
1950     1.955     0.913     0.721     0.209     0.060     0.052     1.939     0.911     0.719     0.204     0.058     0.048
1951     1.971     0.919     0.729     0.212     0.061     0.049     1.954     0.917     0.726     0.208     0.058     0.045
1952     1.956     0.914     0.726     0.210     0.061     0.046     1.939     0.912     0.723     0.204     0.058     0.042
1953     1.933     0.913     0.718     0.205     0.056     0.041     1.916     0.910     0.715     0.200     0.053     0.037
1954     1.938     0.917     0.720     0.204     0.057     0.041     1.920     0.915     0.717     0.198     0.054     0.037
1955     1.950     0.917     0.722     0.208     0.059     0.044     1.934     0.915     0.719     0.204     0.057     0.040
1956     1.974     0.922     0.728     0.214     0.062     0.048     1.957     0.920     0.725     0.210     0.059     0.044
1957     2.020     0.927     0.736     0.228     0.071     0.058     2.002     0.925     0.733     0.223     0.068     0.052
1958     2.015     0.929     0.735     0.228     0.069     0.054     1.997     0.926     0.731     0.224     0.065     0.050
1959     2.026     0.930     0.734     0.235     0.072     0.055     2.006     0.927     0.730     0.229     0.069     0.051
1960     2.024     0.926     0.727     0.238     0.075     0.059     2.003     0.923     0.723     0.232     0.071     0.054
1961     2.040     0.932     0.731     0.244     0.075     0.058     2.018     0.929     0.727     0.238     0.071     0.053
1962     2.041     0.928     0.723     0.249     0.077     0.064     2.019     0.925     0.719     0.242     0.073     0.059
1963     2.019     0.921     0.715     0.245     0.077     0.061     1.994     0.917     0.709     0.239     0.073     0.056
1964     2.005     0.919     0.703     0.244     0.075     0.063     1.978     0.915     0.698     0.237     0.071     0.057
1965     1.995     0.915     0.700     0.244     0.076     0.059     1.968     0.911     0.694     0.236     0.072     0.054
1966     1.979     0.914     0.685     0.244     0.076     0.059     1.950     0.910     0.679     0.236     0.071     0.054
1967     1.960     0.913     0.676     0.240     0.073     0.058     1.927     0.907     0.668     0.232     0.068     0.052
1968     1.926     0.901     0.660     0.237     0.072     0.056     1.894     0.895     0.652     0.228     0.068     0.051
1969     1.906     0.899     0.648     0.233     0.072     0.054     1.871     0.891     0.639     0.224     0.067     0.049
1970     1.867     0.884     0.628     0.227     0.071     0.058     1.828     0.876     0.617     0.217     0.066     0.052
1971         .         .         .         .         .         .     1.806     0.868     0.603     0.217     0.066     0.051
1972         .         .         .         .         .         .     1.747     0.848     0.579     0.208     0.063     0.049
1973         .         .         .         .         .         .     1.737     0.841     0.576     0.208     0.063     0.050
1974         .         .         .         .         .         .     1.675     0.829     0.552     0.193     0.057     0.044
1975         .         .         .         .         .         .     1.634     0.817     0.538     0.184     0.054     0.041
1976         .         .         .         .         .         .     1.611     0.809     0.525     0.182     0.053     0.042
1977         .         .         .         .         .         .     1.572     0.792     0.510     0.179     0.052     0.039
1978         .         .         .         .         .         .     1.549     0.778     0.501     0.179     0.051     0.040
1979         .         .         .         .         .         .     1.518     0.757     0.491     0.177     0.051     0.041
1980         .         .         .         .         .         .     1.467     0.736     0.472     0.172     0.050     0.038
