Bulgaria, Crude birth rate by birth order
Last modified: 01/12/2022
Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
1947    24.12     9.16     7.04     3.51     1.80     2.61
1948    24.71     9.33     7.29     3.59     1.85     2.65
1949    24.77     9.15     7.45     3.63     1.90     2.63
1950    25.17     9.32     7.57     3.70     1.95     2.63
1951    20.87     8.20     6.11     2.99     1.53     2.04
1952    20.91     7.90     6.49     3.06     1.57     1.88
1953    20.64     8.05     6.41     2.88     1.48     1.81
1954    20.03     7.97     6.10     2.78     1.45     1.73
1955    20.02     8.16     6.18     2.59     1.36     1.72
1956    19.48     8.14     6.12     2.35     1.22     1.65
1957    18.42     7.94     5.91     2.05     1.05     1.47
1958    17.89     7.61     6.02     1.92     0.97     1.37
1959    17.55     7.77     5.92     1.78     0.87     1.22
1960    17.81     7.76     6.20     1.84     0.84     1.17
1961    17.36     7.38     6.35     1.76     0.80     1.08
1962    16.75     7.00     6.22     1.70     0.77     1.05
1963    16.36     6.99     6.07     1.61     0.71     0.98
1964    16.08     7.25     5.70     1.53     0.68     0.91
1965    15.33     7.05     5.34     1.40     0.63     0.91
1966    14.89     6.98     5.21     1.31     0.58     0.81
1967    14.99     7.22     5.17     1.29     0.56     0.75
1968    16.90     7.69     6.10     1.90     0.53     0.67
1969    16.95     7.61     6.20     2.01     0.53     0.60
1970    16.34     7.49     5.97     1.84     0.51     0.53
1971    15.85     7.47     5.73     1.64     0.51     0.50
1972    15.30     7.26     5.66     1.47     0.47     0.44
1973    16.20     7.54     6.24     1.49     0.49     0.44
1974    17.18     7.39     7.32     1.54     0.49     0.43
1975    16.58     7.23     6.90     1.55     0.48     0.42
1976    16.54     7.36     6.67     1.60     0.48     0.43
1977    16.09     7.25     6.45     1.52     0.46     0.40
1978    15.47     7.12     6.11     1.42     0.44     0.38
1979    15.33     7.17     5.93     1.43     0.42     0.38
1980    14.47     6.91     5.48     1.33     0.39     0.36
1981    13.99     6.79     5.24     1.24     0.38     0.34
1982    13.93     6.70     5.31     1.21     0.38     0.33
1983    13.77     6.38     5.46     1.23     0.37     0.33
1984    13.66     6.29     5.44     1.24     0.37     0.32
1985    13.28     6.10     5.23     1.24     0.38     0.33
1986    13.40     6.16     5.39     1.20     0.34     0.31
1987    13.00     6.01     5.24     1.15     0.32     0.29
1988    13.07     6.06     5.27     1.14     0.32     0.29
1989    12.57     6.03     4.87     1.09     0.31     0.27
1990    11.93     5.96     4.42     1.00     0.30     0.26
1991    11.03     5.98     3.71     0.84     0.27     0.24
1992    10.42     5.84     3.35     0.74     0.26     0.23
1993     9.97     5.48     3.28     0.70     0.26     0.24
1994     9.44     5.11     3.16     0.67     0.25     0.25
1995     8.61     4.71     2.90     0.60     0.20     0.21
1996     8.71     4.74     2.95     0.60     0.21     0.21
1997     7.80     4.54     2.39     0.51     0.18     0.19
1998     8.03     4.71     2.51     0.48     0.17     0.17
1999     8.96     5.03     2.84     0.62     0.23     0.23
2000     9.21     5.35     2.79     0.59     0.24     0.23
2001     8.60     5.01     2.56     0.58     0.22     0.22
2002     8.46     4.81     2.63     0.59     0.22     0.21
2003     8.63     4.96     2.65     0.58     0.23     0.22
2004     9.02     5.21     2.72     0.63     0.24     0.23
2005     9.24     5.39     2.82     0.58     0.22     0.23
2006     9.68     5.67     2.96     0.59     0.22     0.24
2007     9.93     5.66     3.19     0.61     0.22     0.25
2008    10.31     5.86     3.37     0.63     0.21     0.23
2009    10.81     5.88     3.71     0.71     0.24     0.27
2010    10.15     5.39     3.56     0.71     0.23     0.26
2011     9.60     5.04     3.40     0.68     0.23     0.25
2012     9.45     4.91     3.35     0.70     0.24     0.26
2013     9.17     4.73     3.24     0.72     0.23     0.25
2014     9.36     4.82     3.36     0.71     0.23     0.24
2015     9.19     4.67     3.38     0.69     0.21     0.23
2016     9.12     4.63     3.34     0.71     0.21     0.22
2017     9.04     4.60     3.31     0.72     0.20     0.21
2018     8.85     4.45     3.29     0.71     0.20     0.20
2019     8.82     4.47     3.24     0.71     0.21     0.19
2020     8.52     4.32     3.14     0.69     0.19     0.19
2021     8.53     4.22     3.21     0.73     0.19     0.18
