Bulgaria, Standard deviation in period mean ages at birth by birth order and standard deviation in period mean ages at birth by birth order by age 40
Last modified: 01/12/2022
Year      sdMAB      sdMAB1      sdMAB2      sdMAB3      sdMAB4     sdMAB5p     sdMAB40   sdMAB40_1   sdMAB40_2   sdMAB40_3   sdMAB40_4  sdMAB40_5p
1947       6.02        4.14        4.40        4.71        4.76        5.11        5.37        3.95        4.20        4.36        4.17        3.82
1948       6.05        4.10        4.40        4.71        4.81        5.06        5.40        3.95        4.16        4.36        4.22        3.80
1949       6.05        4.07        4.28        4.73        4.87        5.05        5.39        3.92        4.07        4.33        4.24        3.81
1950       6.13        4.11        4.36        4.77        5.01        5.21        5.40        3.91        4.11        4.31        4.26        3.91
1951       6.08        4.12        4.37        4.76        4.91        5.23        5.41        3.95        4.14        4.36        4.31        3.96
1952       5.96        3.99        4.26        4.72        5.06        5.22        5.33        3.84        4.06        4.33        4.35        4.06
1953       5.98        3.95        4.22        4.81        4.96        5.21        5.33        3.80        4.02        4.31        4.26        4.03
1954       5.96        3.94        4.24        4.74        4.99        5.19        5.36        3.80        4.08        4.34        4.33        4.03
1955       5.86        3.87        4.23        4.76        4.80        5.23        5.26        3.75        4.07        4.35        4.13        4.04
1956       5.79        3.86        4.21        4.71        4.95        5.26        5.19        3.73        4.05        4.31        4.29        4.02
1957       5.64        3.86        4.15        4.67        4.89        5.31        5.10        3.75        4.02        4.36        4.23        4.04
1958       5.59        3.92        4.12        4.66        4.94        5.35        5.05        3.81        3.99        4.33        4.27        4.08
1959       5.53        3.88        4.13        4.67        4.90        5.37        5.03        3.79        4.02        4.34        4.29        4.02
1960       5.46        3.89        4.18        4.64        4.95        5.35        4.99        3.77        4.06        4.35        4.24        4.04
1961       5.41        3.93        4.16        4.70        4.94        5.36        4.98        3.83        4.05        4.38        4.29        4.05
1962       5.42        3.96        4.18        4.68        4.84        5.47        4.98        3.83        4.08        4.39        4.32        4.09
1963       5.34        3.95        4.20        4.60        4.93        5.33        4.94        3.81        4.08        4.30        4.32        4.12
1964       5.31        3.93        4.19        4.68        4.77        5.39        4.92        3.80        4.09        4.36        4.26        4.11
1965       5.30        4.00        4.26        4.62        4.72        5.36        4.94        3.87        4.14        4.35        4.26        4.17
1966       5.21        3.91        4.20        4.56        4.72        5.33        4.87        3.77        4.09        4.33        4.26        4.18
1967       5.15        3.92        4.18        4.52        4.76        5.28        4.82        3.77        4.06        4.28        4.31        4.15
1968       5.07        3.84        4.15        4.50        4.62        5.34        4.77        3.71        4.05        4.29        4.22        4.17
1969       5.08        3.86        4.17        4.61        4.72        5.34        4.80        3.74        4.07        4.40        4.31        4.15
1970       5.04        3.86        4.24        4.64        4.71        5.16        4.79        3.71        4.15        4.41        4.30        4.24
1971       5.02        3.84        4.24        4.82        4.64        5.25        4.76        3.70        4.12        4.56        4.33        4.18
1972       4.97        3.86        4.29        4.76        4.91        5.13        4.72        3.73        4.18        4.50        4.46        4.13
1973       4.91        3.85        4.23        4.81        4.91        5.30        4.67        3.71        4.12        4.54        4.51        4.34
1974       4.86        3.81        4.20        4.81        4.92        5.23        4.65        3.69        4.11        4.51        4.56        4.38
1975       4.88        3.87        4.25        4.73        4.87        5.39        4.66        3.76        4.14        4.49        4.52        4.46
1976       4.85        3.81        4.25        4.70        4.90        5.43        4.64        3.69        4.15        4.49        4.56        4.59
1977       4.81        3.79        4.27        4.78        4.96        5.36        4.61        3.68        4.15        4.50        4.61        4.58
1978       4.74        3.78        4.22        4.74        5.07        5.35        4.55        3.69        4.12        4.49        4.61        4.65
1979       4.73        3.84        4.19        4.70        4.96        5.49        4.53        3.72        4.09        4.45        4.61        4.67
1980       4.70        3.78        4.19        4.76        4.89        5.45        4.51        3.67        4.09        4.53        4.47        4.62
1981       4.73        3.97        4.19        4.77        5.01        5.32        4.54        3.85        4.10        4.51        4.63        4.60
1982       4.73        3.91        4.14        4.83        4.88        5.31        4.55        3.80        4.07        4.57        4.51        4.50
1983       4.73        3.88        4.22        4.88        4.94        5.22        4.56        3.78        4.13        4.61        4.51        4.51
1984       4.75        3.87        4.26        4.87        4.96        4.98        4.58        3.77        4.17        4.59        4.61        4.33
1985       4.79        3.92        4.28        4.90        4.95        5.07        4.62        3.81        4.20        4.67        4.55        4.41
1986       4.79        3.90        4.33        5.05        5.14        5.16        4.62        3.79        4.23        4.80        4.72        4.46
1987       4.77        3.95        4.29        5.13        5.13        5.11        4.60        3.83        4.21        4.83        4.68        4.44
1988       4.74        3.92        4.30        5.07        5.05        5.12        4.58        3.80        4.20        4.78        4.72        4.53
1989       4.81        4.02        4.34        5.13        5.11        5.18        4.65        3.91        4.26        4.83        4.74        4.57
1990       4.86        4.06        4.44        5.26        5.12        5.07        4.69        3.95        4.34        4.99        4.68        4.43
1991       4.87        4.04        4.44        5.32        5.25        5.13        4.69        3.95        4.34        4.96        4.78        4.58
1992       4.95        4.13        4.50        5.39        5.05        5.29        4.75        4.02        4.38        5.00        4.71        4.59
1993       5.03        4.26        4.58        5.55        5.32        5.06        4.83        4.13        4.47        5.13        4.79        4.50
1994       5.07        4.37        4.61        5.43        5.18        5.01        4.89        4.26        4.50        5.07        4.73        4.40
1995       5.10        4.44        4.67        5.48        5.16        5.03        4.91        4.33        4.55        5.08        4.70        4.54
1996       5.14        4.50        4.64        5.61        5.38        5.13        4.94        4.38        4.55        5.17        4.85        4.49
1997       5.21        4.58        4.75        5.65        5.29        5.13        4.99        4.43        4.63        5.27        4.84        4.41
1998       5.18        4.60        4.77        5.52        5.37        5.09        4.99        4.47        4.64        5.18        4.84        4.52
1999       5.21        4.65        4.77        5.51        5.05        4.91        5.04        4.53        4.67        5.13        4.67        4.48
2000       5.32        4.90        4.90        5.52        5.27        4.91        5.12        4.74        4.77        5.14        4.82        4.43
2001       5.38        4.95        5.03        5.68        5.44        4.83        5.20        4.84        4.90        5.28        4.89        4.37
2002       5.36        4.94        5.07        5.56        5.32        4.93        5.19        4.84        4.96        5.19        4.83        4.44
2003       5.45        5.09        5.15        5.61        5.39        4.96        5.28        4.97        5.04        5.30        4.94        4.44
2004       5.53        5.20        5.23        5.77        5.32        5.09        5.35        5.08        5.13        5.37        4.84        4.48
2005       5.58        5.30        5.27        5.76        5.40        5.09        5.41        5.19        5.13        5.45        4.89        4.47
2006       5.65        5.43        5.39        5.79        5.28        5.08        5.49        5.30        5.27        5.42        4.88        4.63
2007       5.77        5.55        5.44        5.99        5.45        5.18        5.58        5.38        5.31        5.56        5.02        4.70
2008       5.85        5.59        5.50        6.01        5.42        5.13        5.65        5.44        5.34        5.61        5.00        4.54
2009       5.97        5.74        5.66        6.13        5.45        5.03        5.76        5.57        5.48        5.76        4.93        4.50
2010       6.02        5.85        5.74        6.16        5.59        5.06        5.79        5.66        5.56        5.72        5.15        4.53
2011       6.11        5.94        5.87        6.21        5.31        5.22        5.87        5.73        5.67        5.81        4.92        4.63
2012       6.13        5.92        5.86        6.31        5.68        5.08        5.87        5.70        5.66        5.85        5.13        4.49
2013       6.17        6.00        5.91        6.23        5.64        5.19        5.90        5.76        5.69        5.79        5.20        4.61
2014       6.23        6.06        5.95        6.33        5.62        5.25        5.94        5.80        5.70        5.88        5.13        4.64
2015       6.26        6.11        6.01        6.34        5.52        5.42        5.94        5.77        5.75        5.87        5.05        4.81
2016       6.29        6.09        6.02        6.44        5.67        5.30        5.92        5.72        5.72        5.90        5.11        4.68
