Bulgaria, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 01/12/2022
Cohort   sdCMAB   sdCMAB40
1932       4.91       4.69
1933       4.88       4.67
1934       4.86       4.66
1935       4.85       4.66
1936       4.87       4.69
1937       4.86       4.70
1938       4.86       4.70
1939       4.86       4.70
1940       4.85       4.69
1941       4.80       4.66
1942       4.78       4.64
1943       4.76       4.61
1944       4.70       4.55
1945       4.65       4.50
1946       4.63       4.48
1947       4.61       4.46
1948       4.60       4.44
1949       4.57       4.42
1950       4.56       4.41
1951       4.58       4.43
1952       4.59       4.45
1953       4.56       4.43
1954       4.58       4.43
1955       4.56       4.41
1956       4.52       4.38
1957       4.51       4.36
1958       4.52       4.36
1959       4.53       4.36
1960       4.53       4.36
1961       4.56       4.36
1962       4.61       4.39
1963       4.67       4.42
1964       4.74       4.48
1965       4.86       4.56
1966       5.05       4.72
1967       5.29       4.91
1968       5.45       5.05
1969       5.66       5.24
1970       5.86       5.44
1971       6.03       5.62
1972          .       5.79
1973          .       5.89
1974          .       5.96
1975          .       6.01
1976          .       6.01
1977          .       6.00
1978          .       5.98
1979          .       5.96
1980          .       5.94
1981          .       5.92
