Bulgaria, Total live births by birth order
Last modified: 01/12/2022
Year         Total            B1            B2            B3            B4           B5p
1947     170161.97      64624.57      49664.64      24789.07      12682.71      18401.07
1948     175770.95      66369.51      51881.62      25563.22      13130.89      18825.81
1949     177734.02      65663.57      53470.58      26064.28      13663.22      18872.26
1950     182571.03      67577.92      54889.79      26877.86      14128.15      19097.10
1951     152803.00      60033.38      44710.99      21923.55      11216.45      14918.66
1952     154013.97      58203.33      47799.02      22576.41      11574.17      13861.03
1953     153219.96      59779.49      47591.90      21388.98      11002.63      13456.93
1954     149901.93      59643.35      45640.16      20829.80      10840.51      12948.14
1955     150978.00      61539.95      46627.27      19554.07      10268.16      12988.49
1956     147909.97      61815.31      46460.20      17825.26       9255.61      12553.63
1957     141035.00      60764.81      45240.64      15710.87       8040.87      11277.73
1958     138293.94      58850.91      46515.82      14852.66       7515.69      10558.91
1959     136891.97      60589.78      46187.58      13855.62       6760.50       9498.56
1960     140081.98      61063.87      48746.76      14443.55       6634.96       9192.83
1961     137861.01      58583.41      50399.89      13938.58       6333.26       8605.70
1962     134148.01      56051.25      49863.14      13619.62       6193.30       8420.72
1963     132143.00      56461.43      49016.80      12993.81       5762.96       7907.86
1964     130958.00      59075.17      46443.38      12487.30       5518.00       7434.12
1965     125791.01      57813.81      43844.70      11511.79       5178.03       7442.66
1966     123039.00      57664.16      43012.26      10837.81       4800.47       6724.35
1967     124581.99      59981.56      42978.32      10755.07       4617.99       6249.02
1968     141460.01      64383.51      51034.34      15940.11       4475.99       5626.08
1969     143060.00      64254.16      52312.30      16958.08       4431.39       5104.12
1970     138744.97      63641.41      50669.84      15631.47       4307.23       4495.02
1971     135422.00      63778.61      48987.99      14040.30       4367.26       4247.86
1972     131316.01      62287.29      48559.27      12609.44       4052.47       3807.51
1973     139713.00      64995.68      53794.36      12842.65       4263.63       3816.74
1974     149196.01      64222.31      63596.23      13336.88       4284.30       3756.26
1975     144668.01      63067.51      60222.41      13527.92       4205.59       3644.53
1976     144929.01      64469.15      58483.36      13992.43       4191.50       3792.51
1977     141701.98      63849.43      56860.96      13380.66       4083.47       3527.43
1978     136441.99      62825.49      53849.33      12540.06       3857.02       3370.02
1979     135357.98      63279.49      52395.03      12621.86       3711.21       3350.38
1980     128190.00      61253.31      48556.94      11744.41       3488.15       3147.26
1981     124372.01      60326.99      46595.99      11061.03       3381.97       3006.03
1982     124165.96      59732.99      47291.94      10806.07       3384.97       2949.94
1983     122992.97      56999.01      48794.00      10971.01       3313.01       2916.00
1984     122303.00      56296.99      48709.02      11090.99       3301.98       2904.01
1985     118955.00      54646.00      46877.00      11110.00       3363.98       2957.98
1986     120078.06      55241.98      48280.99      10741.99       3022.03       2791.00
1987     116673.04      53897.74      47041.31      10280.98       2866.01       2586.99
1988     117440.00      54442.97      47342.99      10210.02       2880.99       2563.00
1989     112288.95      53871.97      43493.03       9704.00       2788.99       2431.05
1990     105181.98      52516.99      38949.96       8802.00       2628.99       2283.99
1991      95909.97      51986.99      32222.99       7343.01       2305.01       2052.00
1992      89134.04      49933.99      28634.99       6370.04       2200.01       1995.00
1993      84399.99      46385.01      27798.96       5930.98       2235.99       2049.01
1994      79441.99      42997.03      26617.75       5623.10       2110.03       2094.02
1995      71967.00      39337.00      24212.00       4987.00       1694.00       1737.00
1996      72188.00      39262.00      24448.00       4975.00       1743.00       1760.00
1997      64125.00      37306.00      19614.00       4156.00       1503.00       1546.00
1998      65361.00      38296.00      20390.00       3895.00       1373.00       1407.00
1999      72291.00      40597.00      22941.00       5027.00       1883.00       1843.00
2000      73679.02      42837.22      22317.19       4755.25       1911.19       1858.20
2001      68179.99      39756.95      20324.99       4586.02       1760.01       1752.01
2002      66499.01      37803.44      20654.43       4640.39       1713.42       1687.37
2003      67359.03      38689.62      20648.63       4519.63       1776.59       1724.61
2004      69885.97      40349.57      21102.62       4853.31       1824.25       1756.26
2005      71074.99      41446.99      21678.00       4444.98       1727.01       1777.99
2006      73977.99      43357.43      22580.39       4535.40       1674.39       1830.42
2007      75348.97      42956.00      24196.31       4633.43       1665.26       1897.97
2008      77712.01      44194.14      25429.18       4737.91       1580.72       1770.05
2009      80955.96      43998.11      27811.20       5348.30       1780.77       2017.67
2010      75512.99      40120.19      26471.52       5297.05       1725.01       1899.35
2011      70846.05      37184.29      25087.22       5023.65       1703.39       1847.38
2012      69120.96      35907.32      24488.76       5103.59       1744.04       1877.28
2013      66577.99      34341.15      23526.97       5196.54       1676.06       1837.27
2014      67585.04      34822.40      24242.15       5156.04       1634.32       1730.10
2015      65949.98      33549.12      24279.17       4978.75       1490.71       1652.22
2016      64983.97      33004.34      23821.86       5094.82       1471.46       1591.50
2017      63954.98      32562.98      23425.87       5076.99       1403.03       1486.07
2018      62197.04      31287.32      23137.90       4971.95       1417.39       1382.45
2019      61538.03      31191.71      22608.76       4973.80       1433.03       1330.72
2020      59086.04      29926.85      21763.68       4753.40       1333.53       1308.45
2021      58677.99      29046.13      22089.27       4990.27       1323.73       1228.67
