Bulgaria, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 01/12/2022
Year      sdMAB    sdMAB40
1947       6.02       5.37
1948       6.05       5.40
1949       6.05       5.39
1950       6.13       5.40
1951       6.08       5.41
1952       5.96       5.33
1953       5.98       5.33
1954       5.96       5.36
1955       5.86       5.26
1956       5.79       5.19
1957       5.64       5.10
1958       5.59       5.05
1959       5.53       5.03
1960       5.46       4.99
1961       5.41       4.98
1962       5.42       4.98
1963       5.34       4.94
1964       5.31       4.92
1965       5.30       4.94
1966       5.21       4.87
1967       5.15       4.82
1968       5.07       4.77
1969       5.08       4.80
1970       5.04       4.79
1971       5.02       4.76
1972       4.97       4.72
1973       4.91       4.67
1974       4.86       4.65
1975       4.88       4.66
1976       4.85       4.64
1977       4.81       4.61
1978       4.74       4.55
1979       4.73       4.53
1980       4.70       4.51
1981       4.73       4.54
1982       4.73       4.55
1983       4.73       4.56
1984       4.75       4.58
1985       4.79       4.62
1986       4.79       4.62
1987       4.77       4.60
1988       4.74       4.58
1989       4.81       4.65
1990       4.86       4.69
1991       4.87       4.69
1992       4.95       4.75
1993       5.03       4.83
1994       5.07       4.89
1995       5.10       4.91
1996       5.14       4.94
1997       5.21       4.99
1998       5.18       4.99
1999       5.21       5.04
2000       5.32       5.12
2001       5.38       5.20
2002       5.36       5.19
2003       5.45       5.28
2004       5.53       5.35
2005       5.58       5.41
2006       5.65       5.49
2007       5.77       5.58
2008       5.85       5.65
2009       5.97       5.76
2010       6.02       5.79
2011       6.11       5.87
2012       6.13       5.87
2013       6.17       5.90
2014       6.23       5.94
2015       6.26       5.94
2016       6.29       5.92
2017       6.34       5.95
2018       6.35       5.94
2019       6.36       5.94
2020       6.37       5.92
2021       6.36       5.91
