Bulgaria, Parity- and age-adjusted total fertility rate
Last modified: 01/12/2022
Year    PATFR   PATFR1   PATFR2   PATFR3   PATFR4  PATFR5p
1977    2.141    0.966    0.831    0.218    0.069    0.058
1978    2.105    0.968    0.821    0.202    0.061    0.052
1979    2.109    0.972    0.819    0.204    0.061    0.053
1980    2.045    0.969    0.794    0.186    0.053    0.044
1981    2.013    0.974    0.781    0.172    0.047    0.038
1982    2.017    0.971    0.780    0.174    0.050    0.041
1983    2.018    0.967    0.783    0.176    0.050    0.041
1984    2.020    0.965    0.784    0.179    0.051    0.042
1985    2.009    0.963    0.772    0.177    0.052    0.045
1986    2.018    0.966    0.789    0.177    0.048    0.039
1987    1.984    0.963    0.775    0.168    0.044    0.034
1988    1.988    0.960    0.777    0.168    0.045    0.037
1989    1.944    0.959    0.754    0.156    0.042    0.033
1990    1.881    0.956    0.722    0.138    0.037    0.029
1991    1.763    0.947    0.654    0.112    0.028    0.021
1992    1.680    0.940    0.603    0.094    0.024    0.019
1993    1.624    0.927    0.565    0.085    0.024    0.022
1994    1.556    0.910    0.526    0.076    0.022    0.021
1995    1.444    0.887    0.467    0.061    0.016    0.012
1996    1.437    0.880    0.462    0.063    0.017    0.015
1997    1.317    0.864    0.388    0.045    0.011    0.008
1998    1.329    0.862    0.400    0.046    0.012    0.009
1999    1.420    0.868    0.430    0.071    0.025    0.026
2000    1.450    0.898    0.434    0.068    0.024    0.025
2001    1.370    0.877    0.388    0.062    0.022    0.022
2002    1.345    0.858    0.380    0.063    0.022    0.022
2003    1.368    0.870    0.385    0.065    0.024    0.024
2004    1.418    0.883    0.400    0.075    0.029    0.031
2005    1.438    0.895    0.418    0.071    0.026    0.028
2006    1.496    0.913    0.440    0.079    0.029    0.034
2007    1.535    0.916    0.466    0.085    0.031    0.037
2008    1.584    0.923    0.500    0.093    0.032    0.035
2009    1.676    0.930    0.533    0.113    0.043    0.057
2010    1.613    0.926    0.507    0.101    0.036    0.043
2011    1.573    0.916    0.487    0.095    0.034    0.041
2012    1.573    0.909    0.487    0.098    0.036    0.043
2013    1.562    0.903    0.478    0.101    0.037    0.043
2014    1.599    0.911    0.505    0.107    0.037    0.040
2015    1.590    0.907    0.507    0.106    0.034    0.035
2016    1.596    0.903    0.515    0.110    0.034    0.033
2017    1.607    0.904    0.523    0.114    0.035    0.032
2018    1.602    0.897    0.523    0.115    0.035    0.030
2019    1.621    0.900    0.532    0.120    0.038    0.031
2020    1.595    0.894    0.524    0.115    0.034    0.029
2021    1.610    0.888    0.533    0.123    0.036    0.030
