United States, Cohort parity progression ratios
Last modified: 24/03/2023
Cohort   PPR0_1    PPR1_2    PPR2_3    PPR3_4
1918      0.819     0.806     0.631     0.581
1919      0.835     0.812     0.643     0.583
1920      0.856     0.825     0.653     0.588
1921      0.865     0.832     0.656     0.589
1922      0.867     0.843     0.658     0.591
1923      0.877     0.851     0.665     0.595
1924      0.890     0.859     0.675     0.602
1925      0.891     0.864     0.686     0.607
1926      0.899     0.859     0.696     0.615
1927      0.912     0.856     0.709     0.620
1928      0.904     0.867     0.719     0.623
1929      0.904     0.884     0.725     0.630
1930      0.912     0.895     0.732     0.630
1931      0.915     0.897     0.733     0.629
1932      0.922     0.898     0.733     0.628
1933      0.928     0.898     0.733     0.624
1934      0.937     0.897     0.732     0.618
1935      0.939     0.894     0.726     0.609
1936      0.933     0.890     0.716     0.599
1937      0.934     0.885     0.704     0.583
1938      0.934     0.882     0.688     0.565
1939      0.930     0.876     0.671     0.549
1940      0.925     0.869     0.650     0.528
1941      0.921     0.859     0.621     0.506
1942      0.915     0.849     0.590     0.484
1943      0.907     0.840     0.565     0.464
1944      0.894     0.829     0.543     0.451
1945      0.889     0.820     0.521     0.436
1946      0.888     0.807     0.497     0.413
1947      0.882     0.797     0.479     0.397
1948      0.872     0.792     0.471     0.390
1949      0.858     0.789     0.467     0.384
1950      0.849     0.785     0.464     0.378
1951      0.844     0.781     0.461     0.372
1952      0.840     0.780     0.459     0.370
1953      0.835     0.780     0.461     0.369
1954      0.835     0.779     0.464     0.369
1955      0.837     0.779     0.466     0.369
1956      0.839     0.780     0.467     0.369
1957      0.838     0.781     0.471     0.369
1958      0.838     0.781     0.473     0.369
1959      0.845     0.782     0.475     0.371
1960      0.848     0.783     0.478     0.373
1961      0.848     0.783     0.479     0.371
1962      0.851     0.782     0.482     0.373
1963      0.857     0.782     0.483     0.376
1964      0.861     0.783     0.486     0.378
1965      0.860     0.784     0.492     0.381
1966      0.862     0.786     0.496     0.384
1967      0.868     0.787     0.498     0.387
1968      0.869     0.787     0.498     0.388
1969      0.872     0.784     0.498     0.388
1970      0.881     0.783     0.499     0.389
1971      0.888     0.783     0.502     0.393
