United States, Crude birth rate by birth order
Last modified: 24/03/2023
Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
1933    16.57     5.23     3.72     2.39     1.60     3.62
1934    17.15     5.66     3.83     2.43     1.61     3.62
1935    16.93     5.91     3.76     2.32     1.53     3.42
1936    16.75     5.97     3.84     2.26     1.46     3.22
1937    17.09     6.28     3.99     2.27     1.43     3.12
1938    17.61     6.60     4.20     2.34     1.42     3.05
1939    17.30     6.46     4.24     2.33     1.39     2.88
1940    17.88     6.61     4.50     2.46     1.43     2.87
1941    18.89     7.34     4.74     2.54     1.45     2.81
1942    20.99     8.64     5.30     2.74     1.52     2.80
1943    21.92     8.10     5.96     3.15     1.71     2.99
1944    20.99     7.19     5.66     3.28     1.79     3.07
1945    20.33     6.87     5.46     3.19     1.77     3.05
1946    23.67     9.00     6.52     3.39     1.82     2.95
1947    25.82    10.68     6.93     3.55     1.80     2.86
1948    24.20     8.96     7.01     3.64     1.81     2.79
1949    23.94     8.12     7.20     3.85     1.92     2.86
1950    23.52     7.40     7.13     4.10     2.03     2.86
1951    24.45     7.66     7.16     4.40     2.24     2.98
1952    24.70     7.39     7.10     4.64     2.44     3.13
1953    24.65     7.15     6.97     4.70     2.56     3.26
1954    24.92     7.09     6.85     4.81     2.71     3.46
1955    24.64     6.83     6.63     4.81     2.77     3.58
1956    24.88     6.87     6.55     4.85     2.86     3.75
1957    24.97     6.84     6.44     4.87     2.93     3.90
1958    24.25     6.50     6.19     4.72     2.92     3.93
1959    23.96     6.32     6.01     4.64     2.94     4.05
1960    23.65     6.20     5.84     4.57     2.93     4.11
1961    23.33     6.15     5.63     4.45     2.91     4.18
1962    22.43     5.99     5.39     4.21     2.77     4.07
1963    21.74     5.99     5.24     3.99     2.62     3.90
1964    21.07     6.10     5.05     3.77     2.46     3.69
1965    19.43     5.99     4.71     3.34     2.15     3.24
1966    18.44     6.27     4.54     2.99     1.86     2.78
1967    17.83     6.27     4.60     2.84     1.69     2.44
1968    17.56     6.58     4.61     2.71     1.54     2.12
1969    17.86     6.78     4.83     2.78     1.52     1.97
1970    18.29     7.11     5.03     2.84     1.49     1.83
1971    17.20     6.75     4.87     2.63     1.35     1.60
1972    15.58     6.36     4.57     2.26     1.12     1.27
1973    14.85     6.19     4.52     2.10     0.97     1.06
1974    14.82     6.27     4.67     2.07     0.90     0.91
1975    14.60     6.21     4.63     2.07     0.86     0.83
1976    14.57     6.17     4.67     2.12     0.84     0.77
1977    15.14     6.39     4.89     2.26     0.87     0.74
1978    15.01     6.38     4.83     2.26     0.86     0.69
1979    15.57     6.64     5.01     2.35     0.89     0.68
1980    15.91     6.87     5.08     2.39     0.90     0.67
1981    15.82     6.82     5.08     2.38     0.89     0.65
1982    15.90     6.76     5.18     2.42     0.90     0.63
1983    15.57     6.59     5.10     2.38     0.89     0.62
1984    15.56     6.52     5.16     2.40     0.88     0.60
1985    15.81     6.58     5.25     2.47     0.91     0.60
1986    15.65     6.51     5.16     2.47     0.91     0.60
1987    15.73     6.50     5.17     2.52     0.93     0.60
1988    16.00     6.56     5.24     2.60     0.97     0.63
1989    16.37     6.71     5.30     2.68     1.02     0.66
1990    16.66     6.81     5.37     2.74     1.05     0.69
1991    16.26     6.62     5.22     2.67     1.04     0.70
1992    15.86     6.40     5.14     2.61     1.02     0.69
1993    15.40     6.26     4.99     2.50     0.98     0.67
1994    15.04     6.19     4.84     2.42     0.94     0.64
1995    14.66     6.10     4.71     2.34     0.90     0.62
1996    14.46     5.94     4.68     2.34     0.90     0.61
1997    14.25     5.81     4.63     2.32     0.89     0.60
1998    14.31     5.76     4.68     2.36     0.91     0.60
1999    14.21     5.73     4.64     2.35     0.90     0.59
2000    14.41     5.79     4.68     2.41     0.93     0.60
2001    14.15     5.63     4.62     2.38     0.93     0.60
2002    14.01     5.57     4.56     2.36     0.92     0.59
2003    14.12     5.66     4.57     2.37     0.93     0.59
2004    14.07     5.60     4.53     2.38     0.94     0.60
2005    14.02     5.57     4.51     2.38     0.95     0.61
2006    14.32     5.73     4.57     2.42     0.98     0.62
2007    14.35     5.77     4.55     2.41     0.98     0.63
2008    13.99     5.65     4.41     2.34     0.97     0.63
2009    13.49     5.46     4.24     2.23     0.93     0.62
2010    12.95     5.23     4.08     2.14     0.90     0.61
2011    12.71     5.11     4.01     2.10     0.88     0.61
2012    12.62     5.04     4.00     2.09     0.88     0.61
2013    12.46     4.92     3.96     2.08     0.88     0.62
2014    12.55     4.90     4.01     2.11     0.90     0.63
2015    12.42     4.79     3.99     2.11     0.91     0.63
2016    12.24     4.67     3.94     2.09     0.90     0.64
2017    11.88     4.50     3.81     2.04     0.89     0.64
2018    11.62     4.41     3.71     2.00     0.87     0.63
2019    11.41     4.31     3.68     1.95     0.85     0.62
2020    10.93     4.17     3.49     1.85     0.82     0.60
2021    11.04     4.21     3.55     1.86     0.82     0.61
