United States, Parity- and age-adjusted total fertility rate
Last modified: 24/03/2023
Year    PATFR   PATFR1   PATFR2   PATFR3   PATFR4  PATFR5p
1963    3.376    0.916    0.821    0.614    0.402    0.623
1964    3.230    0.920    0.815    0.593    0.373    0.530
1965    2.913    0.909    0.786    0.537    0.309    0.373
1966    2.709    0.909    0.774    0.498    0.261    0.268
1967    2.558    0.897    0.754    0.466    0.230    0.211
1968    2.478    0.907    0.753    0.443    0.206    0.170
1969    2.463    0.901    0.750    0.442    0.205    0.165
1970    2.465    0.903    0.751    0.443    0.205    0.164
1971    2.271    0.883    0.712    0.388    0.167    0.123
1972    2.029    0.856    0.663    0.319    0.119    0.073
1973    1.900    0.837    0.632    0.281    0.097    0.053
1974    1.859    0.833    0.622    0.268    0.089    0.047
1975    1.798    0.819    0.600    0.252    0.083    0.044
1976    1.763    0.810    0.587    0.244    0.080    0.042
1977    1.797    0.810    0.593    0.257    0.088    0.049
1978    1.763    0.803    0.580    0.247    0.085    0.048
1979    1.806    0.808    0.592    0.259    0.092    0.054
1980    1.834    0.813    0.600    0.265    0.096    0.059
1981    1.816    0.810    0.595    0.261    0.093    0.057
1982    1.822    0.808    0.596    0.263    0.095    0.059
1983    1.791    0.802    0.587    0.255    0.091    0.057
1984    1.799    0.802    0.591    0.257    0.092    0.057
1985    1.840    0.807    0.602    0.269    0.099    0.063
1986    1.843    0.807    0.602    0.270    0.099    0.064
1987    1.872    0.812    0.610    0.278    0.104    0.069
1988    1.930    0.819    0.623    0.293    0.114    0.081
1989    2.011    0.831    0.641    0.314    0.128    0.098
1990    2.082    0.841    0.659    0.332    0.139    0.111
1991    2.072    0.839    0.656    0.329    0.138    0.110
1992    2.051    0.837    0.653    0.324    0.134    0.103
1993    2.025    0.837    0.652    0.319    0.126    0.091
1994    2.009    0.840    0.653    0.316    0.120    0.079
1995    1.987    0.842    0.652    0.309    0.113    0.070
1996    1.980    0.841    0.650    0.307    0.113    0.070
1997    1.971    0.840    0.646    0.305    0.112    0.069
1998    1.994    0.842    0.650    0.313    0.117    0.073
1999    1.999    0.844    0.653    0.314    0.117    0.072
2000    2.043    0.853    0.664    0.325    0.124    0.077
2001    2.021    0.851    0.658    0.319    0.120    0.074
2002    2.017    0.854    0.659    0.316    0.118    0.071
2003    2.049    0.866    0.671    0.322    0.120    0.072
2004    2.057    0.866    0.669    0.324    0.122    0.075
2005    2.064    0.866    0.669    0.327    0.125    0.077
2006    2.118    0.872    0.679    0.342    0.136    0.088
2007    2.132    0.875    0.682    0.345    0.139    0.091
2008    2.088    0.871    0.669    0.332    0.131    0.083
2009    2.020    0.865    0.652    0.312    0.119    0.073
2010    1.947    0.857    0.633    0.291    0.105    0.062
2011    1.911    0.852    0.622    0.280    0.100    0.057
2012    1.896    0.849    0.616    0.276    0.099    0.057
2013    1.870    0.844    0.606    0.269    0.096    0.056
2014    1.878    0.844    0.607    0.271    0.098    0.058
2015    1.857    0.836    0.598    0.267    0.098    0.059
2016    1.826    0.828    0.587    0.260    0.095    0.057
2017    1.773    0.813    0.567    0.247    0.090    0.055
2018    1.736    0.802    0.555    0.240    0.087    0.052
2019    1.707    0.788    0.544    0.235    0.086    0.053
2020    1.643    0.772    0.522    0.221    0.080    0.048
2021    1.662    0.771    0.528    0.228    0.084    0.051
