United States, Total live births by birth order
Last modified: 24/03/2023
Year         Total            B1            B2            B3            B4           B5p
1933    2081231.93     657080.60     467717.34     300804.21     200761.59     454868.18
1934    2167635.98     714986.19     484236.84     306685.50     203791.62     457935.92
1935    2155105.01     752009.15     478404.46     295174.24     194712.92     434804.22
1936    2144790.00     764732.50     491807.53     289313.76     187042.65     411893.60
1937    2203336.98     810045.58     514050.75     292414.53     184471.17     402354.94
1938    2286961.95     857182.95     545513.31     303640.67     184969.79     395655.31
1939    2265587.99     845526.58     554890.92     305170.28     182281.62     377718.56
1940    2360398.98     873053.25     594548.43     324757.30     189125.28     378914.74
1941    2513426.98     976843.20     630276.12     338215.98     193580.74     374510.97
1942    2808995.97    1155493.86     709521.68     366370.27     203240.37     374369.83
1943    2934860.00    1084726.01     798628.50     422176.12     229266.82     400062.61
1944    2794800.02     957181.88     753836.31     436302.34     238737.57     408741.88
1945    2735456.03     924493.25     734493.08     428661.12     237785.73     410022.95
1946    3288671.99    1249968.66     905403.20     470773.25     252301.63     410225.25
1947    3699940.00    1530036.65     992673.44     509417.79     258221.68     409590.46
1948    3535067.99    1308109.90    1023804.94     531605.28     263689.49     407858.42
1949    3559528.98    1206396.25    1070316.83     572394.69     285386.46     425034.76
1950    3554148.97    1117996.57    1077339.84     619208.27     307114.20     432490.18
1951    3750850.03    1174987.58    1098690.82     675350.11     344285.08     457536.41
1952    3846985.97    1150346.08    1105955.59     723136.09     380642.38     486905.80
1953    3902119.94    1132332.40    1103728.91     743673.22     406081.41     516304.06
1954    4017362.02    1142353.82    1104466.66     776135.98     436830.06     557575.45
1955    4047294.99    1122331.40    1089799.75     790483.21     455808.18     588872.45
1956    4163090.02    1149821.10    1095718.65     811948.60     477836.15     627765.53
1957    4254784.00    1164531.88    1097428.56     829882.15     499089.39     663852.05
1958    4203812.03    1126241.10    1072839.56     817783.23     505886.15     681062.01
1959    4244796.00    1119179.16    1065142.75     822763.96     520907.88     716802.21
1960    4257850.00    1116893.21    1051262.69     822093.70     527947.38     739653.08
1961    4268325.99    1126078.30    1030532.40     814225.88     532052.59     765436.81
1962    4167362.00    1112883.23    1001699.23     782837.77     514000.95     755940.85
1963    4098020.00    1129769.67     987152.10     751996.46     494529.21     734572.52
1964    4027490.00    1166388.31     964722.75     720639.29     470474.84     705264.85
1965    3760358.00    1158769.35     911124.83     647090.77     416549.05     626824.13
1966    3606274.00    1225481.79     888444.53     585115.12     362874.55     544358.04
1967    3520959.00    1237651.78     907540.09     560370.20     333679.85     481717.09
1968    3501564.00    1312350.92     918536.55     539503.01     307839.96     423333.52
1969    3600206.00    1365561.86     972530.48     559453.28     306518.68     396141.73
1970    3731386.00    1450321.98    1025248.40     578799.63     304322.61     372693.36
1971    3555970.00    1395801.45    1006522.65     543904.72     278655.68     331085.48
1972    3258411.00    1329795.90     955490.03     472805.93     233770.27     266548.92
1973    3136965.00    1307171.13     955636.42     444334.83     205785.24     224037.37
1974    3159958.00    1336736.33     995263.32     441493.27     192094.97     194370.16
1975    3144198.00    1337137.72     997018.38     446020.63     185734.80     178286.52
1976    3167788.00    1341981.57    1014974.53     460814.61     183351.53     166665.85
1977    3326632.00    1403306.24    1074748.73     496008.26     190843.50     161725.30
1978    3333279.00    1415775.96    1072006.03     501032.19     191667.98     152796.86
1979    3494398.00    1489973.06    1125018.89     527528.47     199101.03     152776.55
1980    3612258.00    1560411.60    1153642.89     541486.33     203766.41     152950.87
1981    3629238.00    1563342.90    1165529.82     546992.61     204867.54     148505.11
1982    3680537.00    1565041.04    1200476.84     559956.78     208054.27     147008.14
1983    3638933.00    1539161.51    1192035.22     556694.10     207016.12     144026.04
1984    3669141.00    1537241.62    1215421.11     565916.45     208438.88     142122.91
1985    3760561.00    1564104.08    1249599.09     588078.07     215760.85     143018.89
1986    3756547.00    1562074.87    1239186.08     593259.18     218351.01     143675.84
1987    3809394.00    1574263.53    1252756.65     610782.06     225487.18     146104.62
1988    3909510.00    1604165.35    1279883.94     634783.16     237591.75     153085.86
1989    4040958.00    1656964.59    1307685.64     661414.69     251300.51     163592.68
1990    4158212.00    1699292.54    1339508.41     683319.45     263109.82     172981.76
1991    4110907.00    1674523.08    1320962.42     675076.15     263772.25     176573.13
1992    4065014.00    1639658.91    1317363.71     668250.95     261993.73     177746.70
1993    4000240.00    1626854.94    1295185.04     648633.73     254848.02     174718.32
1994    3952767.00    1628368.04    1273248.15     635169.61     247052.02     168929.18
1995    3899589.00    1622055.30    1252291.79     622206.66     239384.14     163651.13
1996    3891494.00    1598728.88    1259247.22     628473.95     241588.58     163455.40
1997    3880894.00    1582291.32    1260948.55     631887.21     242703.01     163064.01
1998    3941553.00    1587676.21    1289122.25     650626.06     249509.18     164619.32
1999    3959417.00    1596177.07    1291386.70     655995.91     251533.46     164323.88
2000    4058814.00    1629512.15    1318304.08     679519.04     261116.99     170361.70
2001    4025933.00    1600632.08    1313159.66     677997.45     264118.38     170025.47
2002    4021726.00    1598933.10    1310104.63     677004.82     264952.86     170730.53
2003    4089949.99    1638691.17    1324345.95     686329.15     268490.99     172092.65
2004    4112052.00    1638413.92    1325361.55     697059.92     274835.47     176381.19
2005    4138349.01    1644765.23    1332226.40     702674.76     279530.21     179152.35
2006    4265555.00    1706159.41    1362027.54     720780.19     290451.94     186135.83
2007    4316233.00    1733872.71    1369893.45     726066.83     295428.18     190971.78
2008    4247694.00    1714475.78    1338942.52     709610.89     293223.80     191440.96
2009    4130665.01    1670953.59    1299436.12     683531.29     285928.82     190815.19
2010    3999385.99    1615650.51    1258667.84     660020.19     276427.32     188620.22
2011    3953590.01    1589416.01    1248691.37     653108.49     274073.50     188300.66
2012    3952841.00    1579020.98    1251713.78     653867.51     277194.01     191044.70
2013    3932181.00    1553377.65    1249999.61     656762.94     277891.50     194149.22
2014    3988076.01    1558077.39    1273709.97     670848.12     285418.04     200022.48
2015    3978497.01    1533084.65    1276649.24     675479.32     290344.93     202938.91
2016    3945875.00    1505917.42    1269290.13     673844.40     291199.12     205623.92
2017    3855500.00    1461826.41    1236487.92     662911.19     287929.24     206345.26
2018    3791712.00    1437846.29    1212167.49     652904.30     284694.16     204099.79
2019    3747540.01    1414758.26    1206989.35     641512.88     279889.30     204390.19
2020    3613646.99    1379703.12    1154580.33     610327.32     270134.02     198902.23
2021    3664291.99    1396858.76    1176656.02     617741.94     272172.60     200862.64
