United States, Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 24/03/2023
Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
1918     2.507     0.819     0.660     0.416     0.242     0.372     2.429     0.815     0.653     0.405     0.230     0.327
1919     2.595     0.835     0.678     0.436     0.254     0.392     2.517     0.831     0.672     0.426     0.243     0.345
1920     2.708     0.856     0.706     0.461     0.271     0.413     2.628     0.852     0.700     0.451     0.259     0.366
1921     2.749     0.865     0.719     0.472     0.278     0.415     2.673     0.861     0.713     0.462     0.267     0.370
1922     2.784     0.867     0.730     0.481     0.284     0.422     2.714     0.864     0.725     0.472     0.274     0.379
1923     2.852     0.877     0.746     0.496     0.295     0.439     2.786     0.874     0.741     0.488     0.286     0.398
1924     2.942     0.890     0.764     0.516     0.310     0.462     2.879     0.887     0.759     0.508     0.301     0.423
1925     2.986     0.891     0.770     0.528     0.320     0.478     2.929     0.888     0.765     0.521     0.312     0.442
1926     3.025     0.899     0.772     0.537     0.330     0.488     2.974     0.896     0.768     0.531     0.323     0.456
1927     3.092     0.912     0.781     0.554     0.343     0.503     3.046     0.909     0.777     0.548     0.337     0.475
1928     3.109     0.904     0.783     0.563     0.351     0.508     3.067     0.902     0.780     0.558     0.345     0.483
1929     3.171     0.904     0.799     0.579     0.365     0.524     3.132     0.902     0.796     0.575     0.359     0.501
1930     3.239     0.912     0.817     0.598     0.376     0.536     3.204     0.910     0.814     0.594     0.372     0.514
1931     3.241     0.915     0.821     0.602     0.379     0.524     3.210     0.913     0.818     0.598     0.375     0.506
1932     3.253     0.922     0.828     0.607     0.381     0.515     3.226     0.920     0.825     0.604     0.378     0.499
1933     3.256     0.928     0.834     0.611     0.382     0.501     3.231     0.927     0.832     0.609     0.379     0.486
1934     3.254     0.937     0.840     0.616     0.380     0.481     3.230     0.935     0.838     0.613     0.377     0.467
1935     3.214     0.939     0.840     0.610     0.371     0.454     3.192     0.937     0.838     0.607     0.368     0.442
1936     3.131     0.933     0.830     0.595     0.356     0.416     3.110     0.931     0.828     0.592     0.353     0.405
1937     3.059     0.934     0.827     0.582     0.339     0.377     3.039     0.932     0.825     0.580     0.336     0.366
1938     2.983     0.934     0.824     0.567     0.320     0.338     2.964     0.933     0.822     0.564     0.317     0.328
1939     2.892     0.930     0.815     0.546     0.300     0.302     2.872     0.928     0.812     0.543     0.297     0.292
1940     2.795     0.925     0.804     0.522     0.276     0.267     2.775     0.923     0.802     0.519     0.273     0.258
1941     2.680     0.921     0.791     0.492     0.249     0.227     2.660     0.919     0.789     0.488     0.246     0.219
1942     2.561     0.915     0.777     0.458     0.222     0.189     2.542     0.913     0.774     0.455     0.219     0.182
1943     2.464     0.907     0.762     0.431     0.200     0.164     2.444     0.904     0.759     0.427     0.197     0.157
1944     2.365     0.894     0.742     0.403     0.182     0.145     2.344     0.891     0.738     0.399     0.179     0.138
1945     2.292     0.889     0.729     0.380     0.166     0.129     2.270     0.885     0.725     0.376     0.162     0.122
1946     2.215     0.888     0.716     0.356     0.147     0.108     2.192     0.884     0.712     0.351     0.143     0.102
1947     2.150     0.882     0.703     0.337     0.134     0.095     2.126     0.877     0.698     0.332     0.130     0.088
1948     2.104     0.872     0.691     0.326     0.127     0.089     2.078     0.867     0.685     0.320     0.123     0.082
1949     2.057     0.858     0.677     0.316     0.122     0.085     2.029     0.853     0.670     0.310     0.118     0.078
1950     2.022     0.849     0.666     0.309     0.117     0.081     1.992     0.843     0.659     0.303     0.113     0.074
1951     1.998     0.844     0.660     0.304     0.113     0.077     1.966     0.838     0.652     0.298     0.109     0.070
1952     1.982     0.840     0.655     0.301     0.111     0.075     1.949     0.833     0.647     0.294     0.107     0.068
1953     1.972     0.835     0.651     0.300     0.111     0.074     1.938     0.828     0.642     0.293     0.106     0.068
1954     1.974     0.835     0.651     0.302     0.111     0.074     1.939     0.828     0.641     0.295     0.107     0.068
1955     1.981     0.837     0.653     0.304     0.112     0.075     1.944     0.829     0.643     0.297     0.108     0.068
1956     1.985     0.839     0.654     0.306     0.113     0.074     1.947     0.830     0.644     0.298     0.108     0.067
1957     1.987     0.838     0.654     0.308     0.113     0.074     1.948     0.829     0.643     0.300     0.109     0.067
1958     1.991     0.838     0.655     0.310     0.114     0.074     1.950     0.829     0.643     0.301     0.109     0.067
1959     2.012     0.845     0.661     0.314     0.117     0.076     1.970     0.836     0.649     0.305     0.111     0.068
1960     2.024     0.848     0.664     0.317     0.118     0.077     1.980     0.838     0.652     0.308     0.113     0.069
1961     2.024     0.848     0.663     0.318     0.118     0.077     1.977     0.837     0.650     0.308     0.112     0.069
1962     2.034     0.851     0.665     0.320     0.119     0.078     1.985     0.840     0.652     0.310     0.113     0.070
1963     2.051     0.857     0.670     0.324     0.122     0.080     2.002     0.846     0.656     0.313     0.116     0.071
1964     2.066     0.861     0.673     0.328     0.124     0.081     2.016     0.849     0.659     0.317     0.118     0.073
1965     2.075     0.860     0.674     0.331     0.126     0.083     2.023     0.848     0.659     0.321     0.120     0.074
